#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-25 16:00:13.016.088.160
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 10 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V),Channel 3 (V),Channel 4 (V)
-0.0001567838709677419,1.240902943153605,-0.01660853929953842,0.5958578473675562,0.1209935072861001
-0.0001567738709677419,1.270565004317088,-0.01741095839761256,0.5971944901666283,0.1227017285314991
-0.0001567638709677419,1.270565004317076,-0.0158061202014672,0.5986647972456127,0.1227017285315027
-0.0001567538709677419,1.263973435169647,-0.01741095839761256,0.6014717471236591,0.124672753045421
-0.0001567438709677419,1.250790296874766,-0.01674227581588411,0.6028083899227312,0.1250669579482054
-0.0001567338709677419,1.250790296874766,-0.01754469491395825,0.6029420542026385,0.1265123759250814
-0.0001567238709677419,1.244198727727325,-0.0182133774956867,0.6044123612816178,0.1267751791936044
-0.0001567138709677419,1.254086081448468,-0.01901579659375938,0.6064173254802223,0.1269065808278656
-0.0001567038709677419,1.250790296874742,-0.01901579659375767,0.6086896182386553,0.1273007857306507
-0.0001566938709677419,1.237607158579884,-0.01727722188126687,0.6124322180760505,0.1275635889991731
-0.0001566838709677419,1.250790296874766,-0.01754469491395825,0.6132342037554938,0.1297974167816179
-0.0001566738709677419,1.29033971175941,-0.01727722188126687,0.6132342037554938,0.1286148020732648
-0.0001566638709677419,1.273860788890839,-0.01700974884857597,0.6145708465545635,0.1296660151473546
-0.0001566538709677419,1.257381866022224,-0.01687601233222956,0.614971839394291,0.1309800314899718
-0.0001566438709677419,1.267269219743368,-0.01674227581588411,0.6168431393129885,0.1313742363927554
-0.0001566338709677419,1.277156573464529,-0.01861458704472377,0.6188481035115967,0.1316370396612784
-0.0001566238709677419,1.240902943153605,-0.01781216794664963,0.6213877248298337,0.1333452609066774
-0.0001566138709677419,1.244198727727319,-0.01821337749568597,0.6220560462293686,0.1336080641751998
-0.0001566038709677419,1.244198727727355,-0.01807964097934052,0.6227243676289111,0.1343964739807681
-0.0001565938709677419,1.260677650595927,-0.01781216794664963,0.6256649817868646,0.1338708674437232
-0.0001565838709677419,1.263973435169647,-0.01714348536492118,0.6251303246672357,0.1351848837863378
-0.0001565738709677419,1.247494512301046,-0.01781216794664963,0.6257986460667717,0.1355790886891222
-0.0001565638709677419,1.244198727727325,-0.01834711401203239,0.6271352888658439,0.136104695226168
-0.0001565538709677419,1.24749451230101,-0.01861458704472328,0.6279372745452912,0.1364989001289545
-0.0001565438709677419,1.227719804858723,-0.01834711401203239,0.6302095673037098,0.1376815148373055
-0.0001565338709677419,1.257381866022206,-0.01874832356106946,0.6314125458228746,0.1379443181058284
-0.0001565238709677419,1.244198727727325,-0.01888206007741515,0.6316798743826891,0.1382071213743514
-0.0001565138709677419,1.237607158579884,-0.01794590446299532,0.6326155243420396,0.1391269328141816
-0.0001565038709677419,1.247494512301028,-0.01767843143030443,0.6331501814616675,0.1400467442540101
-0.0001564938709677419,1.240902943153605,-0.01914953311010653,0.6335511743013901,0.1400467442540118
-0.0001564838709677419,1.237607158579884,-0.02021942524087205,0.6344868242607405,0.1403095475225347
-0.0001564738709677419,1.250790296874766,-0.01807964097934101,0.635422474220091,0.1401781458882733
-0.0001564638709677419,1.244198727727325,-0.01807964097934101,0.6359571313397199,0.1418863671336723
-0.0001564538709677419,1.257381866022182,-0.01821337749568646,0.6371601098588826,0.142937580207762
-0.0001564438709677419,1.231015589432437,-0.0187483235610697,0.6384967526579579,0.1421491704021966
-0.0001564338709677419,1.227719804858723,-0.01888206007741515,0.6390314097775858,0.1429375802077639
-0.0001564238709677419,1.227719804858723,-0.01861458704472377,0.6387640812177714,0.1442515965503785
-0.0001564138709677419,1.237607158579884,-0.01848085052837808,0.6388977454976785,0.1449086047216858
-0.0001564038709677419,1.244198727727313,-0.01955074265914165,0.6390314097775855,0.146222621064298
-0.0001563938709677419,1.237607158579878,-0.01888206007741466,0.639699731177125,0.1459598177957777
-0.0001563838709677419,1.234311374006164,-0.01861458704472377,0.6414373668159156,0.1460912194300389
-0.0001563738709677419,1.234311374006164,-0.01767843143030394,0.6429076738948949,0.1463540226985619
-0.0001563638709677419,1.263973435169647,-0.01767843143030394,0.6425066810551733,0.1470110308698692
-0.0001563538709677419,1.224424020285075,-0.0192832696264493,0.6425066810551733,0.1458284161615182
-0.0001563438709677419,1.247494512301016,-0.01874832356107068,0.6425066810551737,0.1471424325041314
-0.0001563338709677419,1.231015589432443,-0.01941700614279791,0.6427740096149878,0.147536637406915
-0.0001563238709677419,1.234311374006164,-0.01834711401203239,0.6421056882154517,0.1479308423096994
-0.0001563138709677419,1.231015589432443,-0.01968447917548929,0.6433086667346166,0.1483250472124838
-0.0001563038709677419,1.237607158579884,-0.01914953311010653,0.6439769881341526,0.1489820553837911
-0.0001562938709677419,1.240902943153599,-0.01834711401203385,0.6449126380935014,0.1489820553837911
