Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V)
110000.0,9.473346400071067,9.10500539638136,9.772401772559737,0.3115797018794707,0.8812804803162265,-0.25945452449778666,1011235.9550561798,10.427920246930658,29.494612481108664,3.1042814663644696,1263593.9927498705,0.03154562973166915,0.03154562973166915,-0.20080309923867146,0.2834020827280239
110100.0,9.476168415612314,9.170921087855767,9.755922849691135,0.3225403413372043,0.9122818502630434,-0.2866969753687971,867789.6886166411,10.29495129564769,29.118519492550863,3.1862945163279,1274460.6121424986,0.03564906347714961,0.03564906347714961,-0.2254237017115543,0.33264328767378953
110200.0,9.47679873441204,9.212118395027272,9.739443926822533,0.33141035408451663,0.9373700349143862,-0.2803228600622712,978876.8675940237,10.321562688733804,29.19378787858291,2.0047222799590867,1164556.9620253164,0.03055259876526287,0.03055259876526287,-0.1843893642567496,0.25878148025514114
110300.0,9.496977175464641,9.203878933592971,9.772401772559737,0.31533410226156466,0.8918995281940985,-0.25112556911036027,954879.3284365162,10.49693569226948,29.689817638731427,2.2221716388952055,1137787.0563674322,0.04057728740547166,0.04057728740547166,-0.20900996672963243,0.2998158177099458
110400.0,9.496264462050574,9.212118395027272,9.772401772559737,0.32623652984766605,0.9227362501042088,-0.26013119991040606,1027466.937945066,10.28157385159255,29.080682366925526,2.4325257212441564,1346153.846153846,0.02800846984306498,0.02800846984306498,-0.19259623174771057,0.25057461276418014
110500.0,9.49080581885035,9.179160549290067,9.821838541165542,0.32431255376704377,0.9172944239704138,-0.26646354512973325,991131.97704747,10.615493569828299,30.02514995547113,2.2073550319043567,1092611.8626430803,0.024479516821951777,0.024479516821951777,-0.21721683422059337,0.2834020827280239
110600.0,9.508491822819076,9.179160549290067,9.805359618296942,0.3384322761438981,0.9572310297349944,-0.24203639813591707,823774.7653806048,10.285580851390147,29.092015873841905,2.742004991207941,1323308.2706766918,0.039009775714698124,0.039009775714698124,-0.24183743669347618,0.22595401029129736
110700.0,9.484918723655541,9.19563947215867,9.755922849691135,0.32199744748970544,0.91074631457892,-0.268702421803585,909550.2779181405,10.776031653718972,30.479220226502285,1.8402788108212158,1175278.6220871327,0.03126249280323099,0.03126249280323099,-0.2254237017115543,0.2834020827280239
110800.0,9.479027508730018,9.187400010724367,9.764162311125435,0.32145949565120996,0.9092247570071122,-0.270214498960179,1000000.0,10.46952967616744,29.612301719407185,1.6148994368759104,1253236.6649404455,0.03500892781285467,0.03500892781285467,-0.1843893642567496,0.2834020827280239
110900.0,9.477363137520287,9.179160549290067,9.747683388256835,0.32948709714884666,0.9319302428296811,-0.2685771115419889,1079717.4571140262,10.639812342105529,30.09393383062057,2.001174641665503,1018181.8181818182,0.011422390643832922,0.011422390643832922,-0.20080309923867146,0.24236774527321922
111000.0,9.478961593038541,9.179160549290067,9.72296500395393,0.32543689885479693,0.92047455211419,-0.2567311148124296,1006609.0493136756,10.679098818494968,30.205052766076157,2.5322769626755046,1014198.7829614605,0.03250583322811157,0.03250583322811157,-0.24183743669347618,0.2834020827280239
111100.0,9.485668514646063,9.203878933592971,9.739443926822533,0.3268782283826415,0.9245512476464433,-0.2499225905990369,964824.1206030151,10.583260233706449,29.933980313263024,1.5063834420133562,1121495.3271028039,0.030138151956969342,0.030138151956969342,-0.21721683422059337,0.2998158177099458
111200.0,9.478199442855868,9.212118395027272,9.739443926822533,0.3254444661348053,0.9204959556142263,-0.26977173603587257,948979.5918367348,10.256519334181238,29.00981749028195,1.8252535192248622,1222839.8180899443,0.025008859775118755,0.025008859775118755,-0.21721683422059337,0.2834020827280239
111300.0,9.462968798394565,9.179160549290067,9.755922849691135,0.331245168152387,0.9369028185433244,-0.2637484894618159,957661.2903225806,10.37703375548272,29.350683748414152,2.422926229390931,1247401.2474012473,0.04649854230019997,0.04649854230019997,-0.20080309923867146,0.2834020827280239
111400.0,9.480724837785482,9.203878933592971,9.739443926822533,0.32270461205327305,0.9127464780121739,-0.2712671051575869,804424.3338360986,10.793469551968647,30.52854205091023,1.8196190348762293,1049896.04989605,0.027183679660223406,0.027183679660223406,-0.23363056920251524,0.2834020827280239
111500.0,9.480016244102133,9.146202703552863,9.739443926822533,0.33592239285250364,0.950132007753667,-0.24374061769362518,991902.8340080973,10.970417719670298,31.02902704811172,2.605316574602224,1134235.1716961497,0.028623984904887052,0.028623984904887052,-0.21721683422059337,0.29160895021898486
111600.0,9.493833820927454,9.179160549290067,9.805359618296942,0.32809492569678567,0.9279925873323744,-0.2718769484306884,1057082.4524312895,10.438984778194975,29.52590770145926,1.482802081591301,1233082.7067669174,0.024348206942096405,0.024348206942096405,-0.21721683422059337,0.26698834774610203
111700.0,9.478467225352484,9.179160549290067,9.755922849691135,0.33120329566041656,0.9367843852512544,-0.25921225799203407,952380.9523809524,10.742072539600358,30.383169346996844,1.3895200629306055,1133029.8431967627,0.016424476379573616,0.016424476379573616,-0.21721683422059337,0.2834020827280239
111800.0,9.488585283993807,9.187400010724367,9.772401772559737,0.33822874866512775,0.9566553670934091,-0.26710680447259366,904786.9542346133,10.553889319214115,29.850906822034307,1.2292502859028327,1158380.3177857508,0.0316605258765426,0.0316605258765426,-0.19259623174771057,0.275195215237063
111900.0,9.470746849988544,9.162681626421465,9.739443926822533,0.32635511167330944,0.9230716501563605,-0.2676665236410566,931709.8994176814,10.637520244049151,30.087450798305333,1.4220748613893717,1166328.6004056796,0.01866905463835143,0.01866905463835143,-0.21721683422059337,0.3080226852009067
112000.0,9.489166166024923,9.179160549290067,9.747683388256835,0.3353105460311476,0.948401443607954,-0.26749944329226166,865384.6153846154,10.36221124679877,29.30875936279568,2.0164086178673615,1250000.0,0.029190258761763357,0.029190258761763357,-0.20900996672963243,0.29160895021898486
112100.0,9.496536364277906,9.203878933592971,9.838317464034144,0.3305109754324559,0.9348262079394799,-0.2293466456449435,1162046.9083155652,11.141862760274025,31.51394685135851,1.9809322349315266,1183013.1445904954,0.032280144372110145,0.032280144372110145,-0.20080309923867146,0.2998158177099458
112200.0,9.487250491241447,9.228597317895874,9.764162311125435,0.32514985283831854,0.9196626633751322,-0.24852746968659944,1046690.6105695227,10.790447999476479,30.519995809882538,2.0111915027297385,1090723.7512742102,0.03055259876526287,0.03055259876526287,-0.20900996672963243,0.26698834774610203
112300.0,9.492288921908525,9.179160549290067,9.772401772559737,0.3433288452820992,0.9710806187036776,-0.23253788030692632,988433.2281808623,10.637221554901723,30.08660597781888,2.132854627739103,1128463.476070529,0.04082759686394597,0.04082759686394597,-0.19259623174771057,0.2834020827280239
112400.0,9.492795648786734,9.179160549290067,9.772401772559737,0.34069581300741564,0.9636332787976303,-0.2838148393520849,942902.0429544264,10.46043126901654,29.586567537829595,1.2628485073891234,1126331.811263318,0.022440110250447984,0.022440110250447984,-0.23363056920251524,0.2341608777822583
112500.0,9.48393822774486,9.220357856461572,9.772401772559737,0.3444159489993958,0.9741554123450916,-0.29178457198960217,807770.9611451942,10.809242115527585,30.573153597507115,1.8734596630964968,1122448.979591837,0.028714260447287622,0.028714260447287622,-0.26645803916635896,0.29160895021898486
112600.0,9.484889885540522,9.220357856461572,9.747683388256835,0.338018882195417,0.9560617750779045,-0.27424948938357613,863079.3819925414,10.793186516578478,30.527741505935413,1.1192734988017436,1218892.8390045706,0.02015039422046988,0.02015039422046988,-0.19259623174771057,0.2177471428003364
112700.0,9.482170863267202,9.212118395027272,9.772401772559737,0.35278089938365415,0.9978150649090839,-0.25827660803878255,983957.2192513369,10.985207101116053,31.07085773575111,1.6199078674080283,1144303.7974683545,0.02514427308871961,0.02514427308871961,-0.20900996672963243,0.2834020827280239
112800.0,9.476444437570365,9.19563947215867,9.739443926822533,0.33810822881944413,0.9563144854928074,-0.2628295475434439,1032719.8364008181,10.823924594757118,30.614681920018448,2.152888349867574,983606.5573770492,0.029198465629254315,0.029198465629254315,-0.21721683422059337,0.22595401029129736
112900.0,9.487514154007345,9.179160549290067,9.805359618296942,0.34280597107151367,0.9696017071036271,-0.25386568683059685,977596.7413441956,11.203668348680496,31.688759454068276,2.697555170235395,1157786.8852459018,0.03300645214506019,0.03300645214506019,-0.26645803916635896,0.25878148025514114
113000.0,9.47941064368671,9.187400010724367,9.813599079731242,0.32713885833190937,0.9252884204644737,-0.26996387843698666,789338.8006150692,10.969599087414899,31.026711606435356,1.6109344293713175,1220268.8728024818,0.03795519324210964,0.03795519324210964,-0.20900996672963243,0.3080226852009067
113100.0,9.490006591091223,9.245076240764474,9.772401772559737,0.3375987622102971,0.9548734963163434,-0.2558539429812563,888661.899897855,11.03241710362794,31.20438778741507,1.4669420515729275,1216147.1640265714,0.033088520819969804,0.033088520819969804,-0.2582511716753981,0.2341608777822583
113200.0,9.488301022574323,9.220357856461572,9.755922849691135,0.34493455318445715,0.975622246489126,-0.2578171370795965,853470.4370179949,11.113872334835492,31.434777972814977,2.1303504124730437,1162079.510703364,0.034713480583180065,0.034713480583180065,-0.21721683422059337,0.2834020827280239
113300.0,9.482974210757046,9.170921087855767,9.78888069542834,0.3460528898516134,0.978785380253109,-0.29011376850165305,997319.0348525469,11.00039478896312,31.113815004019933,2.4456728513909662,974619.2893401015,0.031890318166289504,0.031890318166289504,-0.2254237017115543,0.275195215237063
113400.0,9.481565262851781,9.11324485781566,9.78064123399404,0.3422281199760764,0.967967297391228,-0.29034768098996594,844783.7150127226,11.347577112406732,32.09579490488025,2.260986975519119,997429.3059125964,0.027257541467642053,0.027257541467642053,-0.1843893642567496,0.25057461276418014
113500.0,9.485363654572993,9.19563947215867,9.78064123399404,0.3537270367856558,1.0004911456006425,-0.2593208602187508,988786.9520897045,11.417046814913325,32.29228489579795,1.7154854167292781,981912.1447028423,0.028837363459652036,0.028837363459652036,-0.21721683422059337,0.26698834774610203
113600.0,9.486377108329414,9.154442164987165,9.78064123399404,0.3466107910495914,0.9803633631343984,-0.2572991879983323,982599.7952917092,11.508406284783678,32.55068849848168,1.9101881536653613,1092783.5051546392,0.027979745806846614,0.027979745806846614,-0.2582511716753981,0.29160895021898486
113700.0,9.48652541863523,9.236836779330174,9.772401772559737,0.33693012518496535,0.9529823052172854,-0.2603734664161587,923715.6201349248,11.077422638310559,31.33168266247509,1.9310566142158527,1023541.4534288639,0.02373269188027433,0.02373269188027433,-0.2500443041844371,0.2834020827280239
113800.0,9.489425709060106,9.203878933592971,9.739443926822533,0.34143104126138185,0.9657128183340281,-0.2697383199661135,887971.0893133712,11.126377475350905,31.470147851447535,1.9817669733535463,982456.1403508772,0.031180424128321383,0.031180424128321383,-0.21721683422059337,0.29160895021898486
113900.0,9.484201890510757,9.19563947215867,9.78888069542834,0.3442957053748388,0.9738153120158167,-0.25407453726659046,803709.42812983,11.000140435773817,31.113095584560043,2.125550666546431,1006676.9388803287,0.027347817010042626,0.027347817010042626,-0.20080309923867146,0.3080226852009067
114000.0,9.485042315577058,9.203878933592971,9.755922849691135,0.3477132576786837,0.9834816096522505,-0.2567227607949899,953878.4067085953,11.225352984288653,31.750092865612622,1.765987091261467,1255742.7258805512,0.022768384950086422,0.022768384950086422,-0.24183743669347618,0.25878148025514114
114100.0,9.489574019365921,9.154442164987165,9.764162311125435,0.35371780312264406,1.000465028857719,-0.2710164846343946,829015.5440414508,11.39241972169369,32.22262895733188,2.2524309066934176,952380.9523809524,0.030646977741408926,0.030646977741408926,-0.21721683422059337,0.25057461276418014
114200.0,9.48820626876783,9.228597317895874,9.79712015686264,0.3510144375528502,0.9928187563520093,-0.21114324164373785,770031.2174817899,11.103819004839163,31.406342861559338,1.8939107544359781,982097.1867007674,0.027093404117822836,0.027093404117822836,-0.24183743669347618,0.29160895021898486
114300.0,9.486925032514796,9.179160549290067,9.838317464034144,0.34972001643183503,0.9891575805424856,-0.2724116055468321,697916.6666666666,10.867333411549756,30.737460594887885,2.2106939855924352,1140215.716486903,0.03358913973691842,0.03358913973691842,-0.2500443041844371,0.25057461276418014
114400.0,9.499107076245407,9.146202703552863,9.78888069542834,0.35231435207294165,0.9964954698404873,-0.2717767002214115,806201.550387597,11.517938396374657,32.57764938146172,2.185234463720836,1042084.1683366733,0.03081111509122814,0.03081111509122814,-0.24183743669347618,0.275195215237063
114500.0,9.491440257380791,9.228597317895874,9.838317464034144,0.34985546219753516,0.9895406790201239,-0.2576500567308016,786749.4824016562,10.96517385063942,31.014195146706168,1.6232468210961066,1169944.5284921837,0.02233752440681097,0.02233752440681097,-0.21721683422059337,0.25057461276418014
114600.0,9.495016183643278,9.19563947215867,9.755922849691135,0.3468864078766523,0.981142925244094,-0.28906116230424517,828157.3498964803,11.285523079287183,31.920279594405017,1.6159428599034353,1172236.503856041,0.03094242497108352,0.03094242497108352,-0.20900996672963243,0.275195215237063
114700.0,9.491996421027608,9.203878933592971,9.821838541165542,0.35403546245328515,1.0013635051249332,-0.2526877703715927,763280.0412583806,11.3626640665903,32.13846725532286,1.4792544432977175,1042849.7676819825,0.03197238684119911,0.03197238684119911,-0.21721683422059337,0.24236774527321922
114800.0,9.48787257057974,9.19563947215867,9.805359618296942,0.35938606296850756,1.0164972887558692,-0.2775159102025167,809128.6307053942,11.70074871006978,33.09471503140036,1.1726967578110017,1086956.5217391306,0.031081941718429852,0.031081941718429852,-0.20080309923867146,0.26698834774610203
114900.0,9.482916534527007,9.11324485781566,9.739443926822533,0.35762824520289954,1.0115254293072626,-0.249329455360815,809011.7767537123,11.844338434600074,33.50084810309668,0.6278212528376755,1104972.3756906076,0.0290548454481625,0.0290548454481625,-0.21721683422059337,0.25878148025514114
115000.0,9.4787350078491,9.203878933592971,9.747683388256835,0.3585823303720342,1.014223989678961,-0.2357207609514694,824204.4861763172,11.474064208722606,32.45355443903045,1.9596464051700255,1012531.328320802,0.039005672280952634,0.039005672280952634,-0.23363056920251524,0.29160895021898486
115100.0,9.487126899319934,9.212118395027272,9.805359618296942,0.35754626398500633,1.0112935514068537,-0.2549182930280048,828526.4813843734,11.96900039459015,33.853445372156635,1.4191532769123025,1068859.1983556014,0.02484061899155406,0.02484061899155406,-0.2500443041844371,0.2998158177099458
115200.0,9.481004979474248,9.19563947215867,9.805359618296942,0.3491397254085773,0.9875162696720566,-0.3040983936957872,911367.0505758638,11.470099801963325,32.44234140341897,2.05751948515183,1084462.9822732012,0.020285807534070735,0.020285807534070735,-0.21721683422059337,0.33264328767378953
115300.0,9.49254022548227,9.187400010724367,9.78888069542834,0.3537808392884837,1.00064332205902,-0.26044865257311645,803757.8288100208,11.824395175028595,33.444440046768854,2.6925467397032774,971457.1857786679,0.0318698009975621,0.0318698009975621,-0.19259623174771057,0.29160895021898486
115400.0,9.493516601662234,9.19563947215867,9.805359618296942,0.36217807221168397,1.0243942834318114,-0.2759202928715253,779887.1216008209,11.860514895695593,33.54660204444165,1.972793535316835,1002610.9660574412,0.03374507021924668,0.03374507021924668,-0.19259623174771057,0.29160895021898486
115500.0,9.480494132865322,9.12148431924996,9.731204465388233,0.3611518142965772,1.021491587707738,-0.28983808592614146,736258.1946545638,11.482008285829517,32.47602368220071,1.507218180435376,1126614.9870801035,0.028578847133686764,0.028578847133686764,-0.19259623174771057,0.25057461276418014
115600.0,9.482648752030393,9.179160549290067,9.772401772559737,0.35909111271349725,1.0156630434541472,-0.26045700659055615,762286.8605817453,12.153428928235702,34.37508803929688,2.243666153262211,1083333.3333333335,0.02231290380433809,0.02231290380433809,-0.2500443041844371,0.25878148025514114
115700.0,9.49525924775559,9.162681626421465,9.79712015686264,0.3487021293120067,0.9862785610028334,-0.26143442663100636,853080.5687203793,11.8965855393281,33.64862523129889,2.3557297864183493,1058640.373637779,0.0236342094703828,0.0236342094703828,-0.20080309923867146,0.31622955269186764
115800.0,9.49745506422783,9.187400010724367,9.772401772559737,0.3570399351950241,1.009861437323228,-0.2694041592685237,927083.3333333334,12.063063451981462,34.11949587511878,1.8805549396836638,1000000.0,0.02319103862587091,0.02319103862587091,-0.23363056920251524,0.25878148025514114
115900.0,9.490785220196763,9.146202703552863,9.805359618296942,0.35613969008239044,1.007315159627735,-0.28778299763596404,922915.5742003146,11.953284046555858,33.80899282707449,2.812540387868602,1077720.2072538862,0.025308410438538834,0.025308410438538834,-0.2500443041844371,0.275195215237063
116000.0,9.485462528110205,9.228597317895874,9.747683388256835,0.3605774009060013,1.0198669012930157,-0.28561095310163015,847201.2102874432,12.223639713467893,34.57367412869734,2.100925883096851,996477.1011575239,0.030129945089478385,0.030129945089478385,-0.20080309923867146,0.275195215237063
116100.0,9.504693431097865,9.19563947215867,9.764162311125435,0.3525682437058781,0.9972135838218309,-0.24588760017563982,737746.3365336028,11.801063884534981,33.37844919188139,2.836956486712677,1104166.6666666667,0.025111445618755765,0.025111445618755765,-0.21721683422059337,0.29160895021898486
116200.0,9.503634660303556,9.19563947215867,9.78888069542834,0.36317806939287584,1.0272227025837641,-0.27817587758025664,929989.5506792059,11.734316113466495,33.18965798567493,2.5356159163635836,926952.1410579345,0.032608419071748586,0.032608419071748586,-0.24183743669347618,0.25878148025514114
116300.0,9.492227125947768,9.179160549290067,9.871275309771349,0.362097135947389,1.0241653611065038,-0.27054865965776886,922570.0164744647,12.013316979399857,33.978791602708526,2.807740641941989,943301.5554440542,0.03351117449575429,0.03351117449575429,-0.1843893642567496,0.275195215237063
116400.0,9.488923101912613,9.228597317895874,9.78064123399404,0.36854297537251796,1.042396948178297,-0.27214427698876026,851287.4408828167,12.005536589957169,33.956785338167734,2.692755424308782,1062215.4779969652,0.041451318793259,0.041451318793259,-0.21721683422059337,0.275195215237063
116500.0,9.503041419080287,9.212118395027272,9.772401772559737,0.359278557793097,1.0161932182016873,-0.2695127614952404,834653.9883782356,11.937887445919111,33.76544466420464,2.8974750223091013,970186.9631126833,0.02880863942343367,0.02880863942343367,-0.21721683422059337,0.275195215237063
116600.0,9.492066456449798,9.187400010724367,9.79712015686264,0.37516628836867033,1.0611305063122982,-0.2690950606232531,869565.2173913043,11.808020266788,33.398124812135926,2.072962145959193,963350.7853403141,0.029539050630129196,0.029539050630129196,-0.20900996672963243,0.2834020827280239
116700.0,9.497129605501177,9.212118395027272,9.772401772559737,0.36561603086758154,1.034118298947908,-0.25934592227107,766129.0322580645,12.383934413289712,35.02705600562642,2.3569818940513785,918580.3757828809,0.009276294794946637,0.009276294794946637,-0.2910786416392418,0.26698834774610203
116800.0,9.47603246449865,9.212118395027272,9.821838541165542,0.36585075060692046,1.0347821866253675,-0.28370623712536813,710299.3404363267,12.197523834333845,34.499807267768006,2.545632777427819,1033942.5587467364,0.027191886527714367,0.027191886527714367,-0.2500443041844371,0.29160895021898486
116900.0,9.486418305636583,9.19563947215867,9.78064123399404,0.37044746537201184,1.0477836593516734,-0.2832133500964231,857142.8571428572,12.167596355388541,34.415159574543836,2.460906827592825,1098236.77581864,0.025767995018032643,0.025767995018032643,-0.2500443041844371,0.2998158177099458
117000.0,9.468765259513596,9.220357856461572,9.731204465388233,0.36553552161763847,1.033890584401576,-0.2735143358488785,820668.6930091185,12.296512100913263,34.779788365992836,2.085065853078478,944386.149003148,0.029994531775877527,0.029994531775877527,-0.26645803916635896,0.275195215237063
117100.0,9.484918723655541,9.19563947215867,9.755922849691135,0.3742479240961257,1.0585329798934353,-0.2644335188918751,866807.6109936575,12.296974213699233,34.78109541833137,2.522051417005764,990301.1740684023,0.02274376434761354,0.02274376434761354,-0.21721683422059337,0.3080226852009067
117200.0,9.495662981365872,9.220357856461572,9.78888069542834,0.37112054665797434,1.0496874207180487,-0.2641494822989237,722251.725969198,11.849580009336394,33.51567351525727,2.1979642246566353,1037783.3753148614,0.028562433398704845,0.028562433398704845,-0.19259623174771057,0.2834020827280239
117300.0,9.48121920547154,9.19563947215867,9.78888069542834,0.3851271240628329,1.0893040041748077,-0.2625204488981733,759894.4591029024,11.91554107345307,33.702239578182,2.1182467053537586,1029782.9379101464,0.027544781829825688,0.027544781829825688,-0.19259623174771057,0.275195215237063
117400.0,9.477404334827458,9.179160549290067,9.78064123399404,0.3707294801814591,1.048581317688294,-0.26340597474678634,835095.1374207188,12.550545826315282,35.49830424552023,1.8517564641239856,958627.648839556,0.015484790051858585,0.015484790051858585,-0.20900996672963243,0.25878148025514114
117500.0,9.487180455819257,9.170921087855767,9.838317464034144,0.3672456012387987,1.0387274199875414,-0.25414136940610843,734693.8775510205,12.761494425942242,36.09495698663235,1.9239613376286857,979591.8367346938,0.03794698637461867,0.03794698637461867,-0.21721683422059337,0.3818844926195552
117600.0,9.48324611298438,9.162681626421465,9.805359618296942,0.36528158822103646,1.033172352294748,-0.2661544464844626,791075.0507099392,12.579464198762166,35.58009775455251,2.2493006376108444,905739.8630858347,0.03205445551610873,0.03205445551610873,-0.19259623174771057,0.2834020827280239
117700.0,9.479929729757075,9.179160549290067,9.739443926822533,0.375555978184675,1.0622327155581233,-0.2667058116354858,832910.1066531234,12.527656164352027,35.433562504747094,2.1439149118308634,1003697.8341257264,0.03289155600018674,0.03289155600018674,-0.19259623174771057,0.29160895021898486
117800.0,9.493875018234627,9.146202703552863,9.772401772559737,0.37668138315594696,1.065415841505193,-0.2509835508138846,593350.3836317136,12.7534993986034,36.07234363444408,2.884119207556787,1029037.1879775854,0.03477503208936228,0.03477503208936228,-0.17618249676578865,0.3080226852009067
117900.0,9.492000540758323,9.170921087855767,9.805359618296942,0.37772946293467985,1.068380258780259,-0.2782176476674553,771182.1410451547,12.809671580910363,36.23122255853728,2.048546047115118,1132874.5367919533,0.0329407972051325,0.0329407972051325,-0.19259623174771057,0.2834020827280239
118000.0,9.492869803939643,9.212118395027272,9.772401772559737,0.3888479726447946,1.0998281532311016,-0.25782549109703634,698549.1671144546,12.586264427630471,35.599331706338106,2.27121252118886,981284.7749114821,0.03280948732527713,0.03280948732527713,-0.21721683422059337,0.26698834774610203
118100.0,9.494208716422715,9.212118395027272,9.764162311125435,0.3758038965735225,1.0629339346538629,-0.2624202006888963,856072.7661851257,12.244775778671164,34.633455948828676,3.0377110772084026,985271.7115286948,0.037368402216505926,0.037368402216505926,-0.21721683422059337,0.2834020827280239
118200.0,9.48915792656349,9.179160549290067,9.764162311125435,0.38303416763804304,1.0833842294520204,-0.2752853875461046,830769.2307692309,12.711668874858084,35.95402904644049,2.6071947360517678,1003039.5136778116,0.026707681345747674,0.026707681345747674,-0.23363056920251524,0.25878148025514114
118300.0,9.486282354522919,9.19563947215867,9.838317464034144,0.39456953115716736,1.1160111645233193,-0.2621278100785053,705505.0774986638,12.603211140863946,35.647264249722966,2.608238159079293,962621.6077828981,0.022698626576413253,0.022698626576413253,-0.3239061116030856,0.3080226852009067
118400.0,9.498670384789392,9.245076240764474,9.79712015686264,0.38325700588018896,1.0840145111805366,-0.2478675023088595,759753.5934291582,12.492594965064596,35.33439445765639,2.716962838547352,1004098.3606557377,0.019411776146283394,0.019411776146283394,-0.23363056920251524,0.2834020827280239
118500.0,9.502950785004508,9.187400010724367,9.772401772559737,0.3789373580010474,1.0717967019498202,-0.2522115913775272,685772.7737973388,12.60120942171001,35.641602532971845,2.2021379167667336,947046.8431771895,0.023868105193875187,0.023868105193875187,-0.23363056920251524,0.29160895021898486
118600.0,9.490871734541825,9.179160549290067,9.805359618296942,0.3928591528240941,1.1111734840524767,-0.2797714949112479,751415.3371075656,12.716008779873517,35.966304151504964,2.2501353760328633,1088082.9015544043,0.03317879636237037,0.03317879636237037,-0.20080309923867146,0.37367762512859426
