r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V)
0.0,0.0,0.0,115000.0,9.72062499690659,9.014371320604047,10.64578468459564,3.189999526677975,9.022681189183492,0.2662972090551633,137931.0344827586,170.59319286001195,482.5104139823159,-3.466570707168699,114810.56257175661,0.7352804136478241,0.7352804136478241,-0.6111464737867185,1.629328351245618
0.0,0.0,0.0,115100.0,9.723129793182615,8.95669509056394,10.695221453201446,3.3718867011153715,9.537135807005667,0.24746725374597678,138089.7583429229,181.99426900058555,514.7575269896109,-1.3914109900278526,115074.79861910241,0.9232094723233388,0.9232094723233388,-0.5536984013499919,1.7770519660829147
0.0,0.0,0.0,115200.0,9.741042382340787,8.882539937655233,10.711700376070048,3.5108373814308527,9.93014768021191,0.2461306109556175,115473.44110854504,192.7371660018391,545.143028266311,0.09984920091024468,115207.3732718894,1.0459760031206233,1.0459760031206233,-0.4470091239674997,1.883741243465407
0.0,0.0,0.0,115300.0,9.728353611731963,8.874300476220933,10.728179298938649,3.693368019749294,10.446422288729027,-0.06313511466376494,115340.25374855824,200.9708020709681,568.4312678595239,5.316129600111038,115440.11544011543,1.1184508499332995,1.1184508499332995,-0.5701121363319137,1.9576030508840556
0.0,0.0,0.0,115400.0,9.730364040321932,8.94021616769534,10.777616067544455,3.680556599009807,10.410186118802924,-0.09307591316781319,115606.93641618497,201.2151558235692,569.1224046414145,3.7722808885856973,115440.11544011543,1.163088002216636,1.163088002216636,-0.4305953889855778,1.9329824484111726
0.0,0.0,0.0,115500.0,9.732465102987678,8.899018860523833,10.785855528978756,3.854464562311459,10.902072119414683,-0.10564035539719058,138728.32369942198,210.81338017458012,596.2702827452132,3.4713576874476075,115440.11544011543,1.2073148111254246,1.2073148111254246,-0.38956105153077303,2.039671725793665
0.0,0.0,0.0,115600.0,9.690073073908202,8.890779399089533,10.744658221807251,4.036814845732847,11.417836607248892,0.3030047616854055,115606.93641618497,220.88886351171018,624.7680531108801,-1.078384081770484,115473.44110854504,1.2721983055089618,1.2721983055089618,-0.4798365939313434,2.212015943103845
0.0,0.0,0.0,115700.0,9.692553151799926,8.882539937655233,10.827052836150262,4.237292537087194,11.984873147382023,-0.07310981148682115,115740.74074074073,231.78871781392425,655.5974966750438,4.590741911375957,115774.24023154848,1.344229981477126,1.344229981477126,-0.4716297264403825,2.277670883031532
0.0,0.0,0.0,115800.0,9.681693541629517,8.882539937655233,10.860010681887465,4.23779927816098,11.986306427580342,0.24725004929254335,115740.74074074073,231.4130901604384,654.5350612311197,-2.1247286937721146,115740.74074074073,1.3556293204220706,1.3556293204220706,-0.4716297264403825,2.4007738953959463
0.0,0.0,0.0,115900.0,9.69252019395419,8.833103169049426,10.860010681887465,4.42339801639251,12.51125893311307,-0.08231593870542082,116009.28074245939,242.99770405135646,687.3012973899039,3.9392285729896304,115942.02898550725,1.4266925860263013,1.4266925860263013,-0.49625032891326526,2.450015100341712
0.0,0.0,0.0,116000.0,9.676988809150533,8.833103169049426,10.925926373361873,4.676769102071715,13.227900584474522,0.3028878054412492,116009.28074245939,255.7851645817299,723.4696976106334,-1.275382349367128,116144.01858304298,1.5135048303456862,1.5135048303456862,-0.5454915338590309,2.6141524501609306
