#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-19 14:01:48.375.332.090
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 10 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V),Channel 3 (V),Channel 4 (V)
-0.0001567873333333333,1.20135352826896,-0.01406754548897031,0.5874369977334019,0.1513472848004974
-0.0001567773333333334,1.188170389974078,-0.01500370110339014,0.5889073048123812,0.1521356946060661
-0.0001567673333333333,1.198057743695222,-0.01486996458704591,0.5899766190516409,0.1537125142172031
-0.0001567573333333333,1.188170389974078,-0.01567238368511859,0.5910459332908965,0.1534497109486807
-0.0001567473333333333,1.178283036252918,-0.01527117413608152,0.5933182260493192,0.1527927027773734
-0.0001567373333333333,1.194761959121519,-0.01486996458704445,0.5953231902479273,0.1525298995088505
-0.0001567273333333334,1.194761959121519,-0.01433501852166169,0.5991994543652365,0.1525298995088505
-0.0001567173333333334,1.178283036252948,-0.01393380897262535,0.6006697614442131,0.1525298995088505
-0.0001567073333333333,1.181578820826668,-0.01540491065242551,0.6016054114035675,0.154763727291297
-0.0001566973333333333,1.19805774369524,-0.01446875503800738,0.6022737328031024,0.1556835387311255
-0.0001566873333333333,1.181578820826638,-0.01567238368511859,0.6040113684418962,0.1559463419996484
-0.0001566773333333334,1.171691467105477,-0.0155386471687729,0.604546025561525,0.157523161610786
-0.0001566673333333334,1.188170389974048,-0.01674227581588192,0.6061499969204086,0.1568661534394798
-0.0001566573333333333,1.181578820826656,-0.01593985671781094,0.6088232825185587,0.1562091452681697
-0.0001566473333333333,1.191466174547799,-0.01647480278319273,0.6104272538774423,0.1552893338283411
-0.0001566373333333333,1.178283036252918,-0.0155386471687729,0.6124322180760505,0.1551579321940797
-0.0001566273333333334,1.184874605400358,-0.01607359323415566,0.613367868035401,0.1577859648793089
-0.0001566173333333334,1.188170389974072,-0.01460249155435575,0.6143035179947498,0.1587057763191374
-0.0001566073333333333,1.204649312842639,-0.01593985671781143,0.6141698537148447,0.1588371779534013
-0.0001565973333333333,1.181578820826638,-0.01674227581588411,0.6144371822746587,0.1592313828561849
-0.0001565873333333333,1.181578820826638,-0.01727722188126687,0.6167094750330813,0.1596255877589693
-0.0001565773333333333,1.174987251679197,-0.01580612020146428,0.6184471106718751,0.1597569893932308
-0.0001565673333333334,1.174987251679197,-0.01620732975050135,0.6200510820307616,0.1593627844904464
-0.0001565573333333333,1.174987251679221,-0.01527117413608395,0.6220560462293711,0.1579173665135713
-0.0001565473333333333,1.188170389974078,-0.01660853929953842,0.6227243676289058,0.1584429730506162
-0.0001565373333333333,1.178283036252918,-0.01607359323415566,0.6231253604686275,0.1601511942960152
-0.0001565273333333333,1.158508328810595,-0.01580612020146428,0.624061010427978,0.1619908171756756
-0.0001565173333333334,1.168395682531756,-0.0155386471687729,0.624729331827514,0.1619908171756756
-0.0001565073333333334,1.198057743695186,-0.01687601233222737,0.6259323103466767,0.1613338090043695
-0.0001564973333333333,1.174987251679197,-0.01714348536492118,0.625932310346679,0.1604139975645381
-0.0001564873333333333,1.174987251679197,-0.01727722188126687,0.628471931664916,0.1609396041015839
-0.0001564773333333333,1.20135352826896,-0.01607359323415566,0.6294075816242665,0.1609396041015839
-0.0001564673333333334,1.178283036252918,-0.01634106626684704,0.6307442244233387,0.1615966122728912
-0.0001564573333333334,1.198057743695204,-0.01647480278319249,0.6304768958635246,0.1621222188099361
-0.0001564473333333333,1.191466174547745,-0.01687601233223077,0.6311452172630578,0.1630420302497665
-0.0001564373333333333,1.161804113384315,-0.01741095839761256,0.6298085744639881,0.1626478253469829
-0.0001564273333333333,1.168395682531756,-0.01807964097934101,0.6308778887032458,0.1631734318840287
-0.0001564173333333334,1.181578820826638,-0.0168760123322298,0.6324818600621324,0.1627792269812444
-0.0001564073333333334,1.171691467105495,-0.01660853929953891,0.6334175100214812,0.1622536204441995
-0.0001563973333333333,1.1782830362529,-0.01674227581588508,0.6343531599808355,0.1615966122728934
-0.0001563873333333333,1.168395682531756,-0.01727722188126687,0.6355561384999983,0.1627792269812444
-0.0001563773333333333,1.165099897958036,-0.01807964097934101,0.6346204885406478,0.1635676367868131
-0.0001563673333333333,1.165099897958036,-0.01674227581588411,0.6352888099401838,0.1639618416895975
-0.0001563573333333334,1.184874605400322,-0.017009748848575,0.6351551456602769,0.1647502514951648
-0.0001563473333333333,1.171691467105525,-0.01714348536492191,0.6350214813803698,0.1640932433238561
-0.0001563373333333333,1.19805774369524,-0.01754469491395825,0.6352888099401838,0.1625164237127214
-0.0001563273333333333,1.161804113384315,-0.01660853929953842,0.6376947669785137,0.1627792269812444
-0.0001563173333333333,1.161804113384315,-0.01660853929953842,0.6371601098588848,0.1627792269812444
-0.0001563073333333334,1.171691467105477,-0.01647480278319273,0.6370264455789776,0.1633048335182902
-0.0001562973333333334,1.168395682531762,-0.01674227581588363,0.6379620955383264,0.1639618416895963
