Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
115000.0,9.832887658948941,8.78366640044362,10.98360260340198,3.689294846428567,10.43490161482489,0.1637683530171655,126582.27848101266,197.9156097206045,559.7898789444386,4.748716157743181,114942.52873563218,0.9575716265079922,0.9575716265079922,-0.6439739437505622,1.8591206409925243,25.506000000000004
115100.0,9.832636355375195,8.78366640044362,11.024799910573485,3.8776815414708934,10.967739653023894,0.4293342134092387,115062.76150627615,208.53301432581068,589.8204341242089,-1.9784407853131742,115062.76150627615,1.023673840713937,1.023673840713937,-0.6029396062957575,1.9904305208478992,25.9965
115200.0,9.840863457617344,8.841342630483727,11.033039372007785,4.08923186699538,11.566094331986239,0.15049381930540978,115207.3732718894,220.26689708204646,623.0088663905377,3.98993893212732,115207.3732718894,1.0951720702951888,1.0951720702951888,-0.6850082812053669,2.1299472681942353,28.9395
115300.0,9.814480702104714,8.78366640044362,11.008320987704883,4.31157105107928,12.194964511143079,0.15376024012435036,115406.80900173109,232.8001435567312,658.4582406806655,4.554430790018101,115340.25374855824,1.1801295625616164,1.1801295625616164,-0.676801413714406,2.3022914855044148,30.901500000000002
115400.0,9.803464542167053,8.750708554706417,11.07423667917929,4.315884713450254,12.207165390800137,0.453326951496188,115303.98322851153,232.9027313519043,658.7484027832011,3.731587390512235,115364.44677503932,1.1909174898784844,1.1909174898784844,-0.6439739437505622,2.310498352995376,30.901500000000002
115500.0,9.791381371973648,8.77542693900932,11.06599721774499,4.571156842332142,12.929184004321375,0.11006037489704107,115485.56430446194,247.14809101887423,699.0403644670241,-0.6929436154029126,115473.44110854504,1.2625100984358824,1.2625100984358824,-0.676801413714406,2.5156700402693994,31.14675
115600.0,9.788579955085988,8.561200941717495,11.123673447785096,4.851246912733812,13.721398356817527,0.13773723467491822,127167.63005780346,262.73569240896563,743.1287590484901,4.762906710917506,115606.93641618497,1.365965870026936,1.365965870026936,-0.7096288836782496,2.6716005225976573,33.354000000000006
115700.0,9.772508885558384,8.528243095980292,11.115433986350796,5.156981097686385,14.586145218499555,0.11878196910413548,115807.75911986103,279.95349124894983,791.8280483159249,5.1971793749732385,115740.74074074073,1.474764312354605,1.474764312354605,-0.676801413714406,3.4676666692208684,36.297
115800.0,9.768632218953545,8.717750708969213,11.148391832087999,5.17667400809988,14.641845180478281,0.47020206672447407,115728.56391372962,279.8928374778145,791.6564935444276,-1.093618057972347,115728.56391372962,1.4529463551298853,1.4529463551298853,-0.7260426186601716,2.802910402453032,38.749500000000005
115900.0,9.749710295769674,8.684792863232008,11.1566312935223,5.519133883030608,15.610467979869538,0.49161341342254217,115911.48577449948,299.1745419378021,846.193389450396,-1.908322757863517,115850.44760400211,1.5634518258956747,1.5634518258956747,-0.7014220161872887,3.1229782346005086,42.183
116000.0,9.726046562530358,8.552961480283194,11.197828600693803,5.8970629950242355,16.679412931463556,0.09808071388844562,116009.28074245939,321.6880400539813,909.8711781951196,4.492242777577644,116009.28074245939,1.704388361317947,1.704388361317947,-0.7424563536420935,3.3527705243474153,42.42825
116100.0,9.70031060474032,8.585919326020399,11.189589139259503,6.362627852658349,17.996229203124482,0.5003099455773174,116156.28299894404,346.4088697020024,979.7922433178123,-1.8365352535698338,116156.28299894404,1.85891546930525,1.85891546930525,-0.7178357511692106,3.607183416567204,46.35225
116200.0,9.693566605556345,8.487045788808786,11.1566312935223,6.356338816013358,17.978441121289265,0.5037183846927336,116156.28299894404,346.38778875037707,979.7326173824198,-3.1330927075718518,116156.28299894404,1.8114674649062597,1.8114674649062597,-0.7916975585878592,4.747937997810775,50.031
116300.0,9.662985844442938,8.618877171757601,11.23078644643101,6.85431107483341,19.38691936550703,0.07777209749242424,116279.06976744186,373.710264740899,1057.0122495892385,5.506658644937019,116279.06976744186,1.989778074882368,1.989778074882368,-0.7424563536420935,4.025733658606212,52.974000000000004
116400.0,9.61739690432695,8.43760902020298,11.1566312935223,7.409832408701265,20.958170974594054,0.5282708419481459,116463.73742721017,404.97539662896156,1145.4433966802017,-3.085721302122237,116402.1164021164,2.1826271506187136,2.1826271506187136,-0.7916975585878592,4.321180888280806,61.3125
116500.0,9.572121063745467,8.487045788808786,11.255504830733912,8.022669939188573,22.69153726888683,0.015075196607133393,116525.42372881356,439.1168618926701,1242.0100431106548,-4.572599116344738,116482.23645894002,2.400310207382707,2.400310207382707,-0.7506632211330544,4.747937997810775,67.93425
116600.0,9.574683536251534,8.536482557414592,11.1566312935223,8.010264595994743,22.656449659705615,0.04531673973901262,116587.17541070483,438.93458662284417,1241.4944907933086,6.559472479709306,116550.11655011655,2.3743149546050883,2.3743149546050883,-0.7670769561149762,4.715110527846931,67.93425
116700.0,9.51169697331702,8.289298714385563,11.164870754956603,8.690979552067459,24.581802305682096,0.5761310078604486,116710.87533156498,476.0895882317377,1346.5847051638916,-3.9884909055364925,116710.87533156498,2.5906356713655825,2.5906356713655825,-0.7999044260788201,5.0926264324311346,68.42475
116800.0,9.445253956310816,8.470566865940185,11.197828600693803,9.379201201913437,26.528387087944036,0.02793202944690191,116834.8380244291,514.6869622640792,1455.7545648209405,6.683013766168212,116822.42990654206,2.8028570578143412,2.8028570578143412,-0.8327318960426638,5.617865951852634,74.80125000000001
116900.0,9.389361569671237,8.355214405859972,10.99184206483628,10.048632587326022,28.42182497660141,0.5921540133098806,116959.06432748538,552.9732804286331,1564.0446256242274,-3.372036580874963,116896.91817215728,3.040605905593734,3.040605905593734,-0.7834906910968982,6.052829928873564,84.61125
117000.0,9.376178431376355,8.445848481637281,11.000081526270582,10.039710901578268,28.396590638634002,0.5868575662530816,116959.06432748538,551.7439815771639,1560.5676434083127,7.906322923638017,116959.06432748538,3.005730822190895,3.005730822190895,-0.7588700886240153,10.81281307363091,90.49725000000001
117100.0,9.307951570969625,8.379932790162874,10.827052836150262,10.666476999400865,30.16935287058676,0.01965319816411423,117083.5550824907,586.9865288384632,1660.248620027321,5.828450306625587,117096.01873536299,3.226934625108511,3.226934625108511,-0.7752838236059373,6.63551752073179,97.60950000000001
117200.0,9.274746541389392,8.404651174465776,10.678742530332844,11.089677961438246,31.36634595083197,0.01690472642643766,117208.31113478956,610.2564664740685,1726.0659428270194,-7.6145946107898475,117233.29425556859,3.3409567385941767,3.3409567385941767,-0.8163181610607418,7.809099571939205,97.85475000000002
117300.0,9.258753746745414,8.256340868648358,10.654024146029942,11.086655204869258,31.35779630416074,0.5994387165173387,117208.31113478956,610.569860001488,1726.9523535806927,-4.437371491977546,117270.78891257997,3.3915233526397324,3.3915233526397324,-0.7670769561149762,6.750413665605244,102.5145
117400.0,9.249451394786089,8.363453867294272,10.513953301646824,11.236522655848264,31.781685467626332,0.587868402363291,117333.33333333333,619.3614191665476,1751.8186379919582,-4.1456304134816895,117395.94450373531,3.471765999532603,3.471765999532603,-0.808111293569781,14.251490552343542,101.77875
117500.0,9.257686736489672,8.421130097334379,10.621066300292735,11.117202691021973,31.444197642587888,0.004816463191125876,117458.6225306994,614.2855889554279,1737.462022142221,-6.141907349741683,117508.81316098708,3.351978561634537,3.351978561634537,-0.7342494861511326,6.922757882915423,99.57150000000001
117600.0,9.267578209941552,8.355214405859972,10.761137144675853,10.997109746560573,31.104523500982626,0.053161162114933685,117710.00535045478,608.1937011516536,1720.2315614371153,6.50166684398444,117716.30370806357,3.3552079639922305,3.3552079639922305,-0.8655593660065075,9.737713432315026,100.55250000000001
117700.0,9.281268075114642,8.388172251597174,10.752897683241553,10.985187703959326,31.07080287230688,0.5558474535167461,117647.05882352941,607.0342695294753,1716.9521935876578,9.116276266355483,117584.17958311063,3.3150558647927038,3.3150558647927038,-0.7752838236059373,6.799654870551009,101.28825
117800.0,9.310617036743622,8.429369558768679,10.892968527624669,10.546650063609366,29.830431115118866,0.07209136563339744,117773.01927194861,584.1229534548588,1652.149205738579,5.472017000423207,117785.63015312131,3.2065159387910005,3.2065159387910005,-0.8409387635336247,6.496000773385456,96.87375
117900.0,9.391293723377581,8.544722018848892,11.05775775631069,9.90392415516712,28.01252772190368,0.09590866935411185,117962.46648793567,548.7431563909437,1552.0800280549859,4.686528145302722,117924.52830188679,3.007310644182905,3.007310644182905,-0.7752838236059373,5.978968121454916,96.6285
118000.0,9.457522514386492,8.618877171757601,11.123673447785096,9.189607757036196,25.992135845779174,0.49945783579846315,118025.75107296137,509.8474049793974,1442.0662297251836,-1.5871571499914554,118025.75107296137,2.764859261331192,2.764859261331192,-0.6932151486963278,5.502969806979181,89.51625
