Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
115000.0,9.82616837814927,9.096765934947058,10.662263607464242,3.511483256275951,9.931974490142977,0.18010881112930793,135841.17032392893,188.82061936872705,534.0653615338834,-0.30416419534726535,114942.52873563218,0.9303576539079658,0.9303576539079658,-0.5536984013499919,1.7688450985919537,52.728750000000005
115100.0,9.816503489886832,8.890779399089533,10.662263607464242,3.699231890725304,10.463007820453585,0.45216574307206336,125457.39675901725,198.28169188247267,560.8253156609522,-1.3657427835507518,115062.76150627615,0.9638991213435231,0.9638991213435231,-0.5947327388047965,1.9493961833930946,54.200250000000004
115200.0,9.817245041415921,8.800145323312222,10.63754522316134,3.879486070485973,10.972843631837536,0.46106277164539244,136196.96176008382,208.95616012296736,591.0172711746092,-1.7710082874412911,115243.58302776323,1.0232593939056436,1.0232593939056436,-0.6193533412776794,2.006844255829821,54.4455
115300.0,9.802854822020912,8.899018860523833,10.744658221807251,4.0921848435574715,11.574446610993197,0.17599028053151336,126728.11059907834,220.99986902808425,625.0820241243889,5.086993903266642,115340.25374855824,1.1070145800846454,1.1070145800846454,-0.6932151486963278,2.17098160564904,55.67175
115400.0,9.819865190152028,8.997892397735447,10.64578468459564,4.083535166303035,11.54998162922645,0.16528878419119927,126801.15273775217,220.59052398338497,623.924221496581,4.177337707870726,115406.80900173109,1.1184344361983176,1.1184344361983176,-0.6193533412776794,2.1873953406309616,56.89800000000001
115500.0,9.797025403056145,9.006131859169747,10.695221453201446,4.316586016899103,12.20914897649754,0.13041911539770112,138648.18024263432,233.49169912845252,660.4142552179915,3.396857283282354,115540.15020219526,1.1725053826625138,1.1725053826625138,-0.7424563536420935,2.3433258229592195,59.10525
115600.0,9.780624755071171,8.833103169049426,10.728179298938649,4.570869255128365,12.92837058487348,0.1534678495139592,127094.16522241478,247.7007725876471,700.6035840074886,5.315712230900027,115606.93641618497,1.26432791958513,1.26432791958513,-0.6357670762596013,2.425394497868829,62.04825
115700.0,9.762670968605828,8.701271786100612,10.719939837504349,4.853825049571473,13.728690428980475,0.49595750249120985,115728.56391372962,263.39807029226785,745.0022466204541,-1.4853190625050674,115728.56391372962,1.384739079412509,1.384739079412509,-0.6685945462234449,2.6469799201247746,61.803000000000004
115800.0,9.759416381339278,8.77542693900932,10.761137144675853,4.859674535869714,13.745235274692252,0.4768268025541924,115728.56391372962,263.36720158251165,744.9149367244737,-0.41727125153092676,115728.56391372962,1.3607298885677028,1.3607298885677028,-0.7424563536420935,2.6469799201247746,64.25550000000001
115900.0,9.746772927768342,8.78366640044362,10.752897683241553,5.172127130377489,14.628984668195365,0.10814730490333926,115740.74074074073,280.3712858126558,793.0097497924824,5.789008916185165,115874.85515643106,1.436306931291962,1.436306931291962,-0.6932151486963278,2.8849790773626416,64.25550000000001
