Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
115000.0,9.843289979009747,9.096765934947058,10.670503068898542,3.6281134381651503,10.261854460162471,0.43243355387938426,135699.37369519833,194.33565441518493,549.6642362532108,-1.7294800509458128,114942.52873563218,0.9387368656162368,0.9387368656162368,-0.6111464737867185,1.875534375974446,36.297
115100.0,9.826073624342772,8.989652936301146,10.728179298938649,3.8107920064807743,10.778547477896183,0.15673427033289977,115141.04778353484,204.6568875114587,578.8570919035396,4.655225454476976,115074.79861910241,0.9941742555176779,0.9941742555176779,-0.6685945462234449,1.9740167858659774,36.542249999999996
115200.0,9.819432618426726,9.03085024347265,10.719939837504349,4.016300587314755,11.35981352229511,0.4290084067290885,136268.34381551362,216.2660430638715,611.6927423633819,-2.059410412249078,115183.24607329843,1.0689757492640415,1.0689757492640415,-0.6850082812053669,2.0971197982303917,36.542249999999996
115300.0,9.794640078970914,8.94021616769534,10.769376606110155,4.2436798225767545,12.002939118914192,0.4254328872648775,115485.56430446194,228.26879649718097,645.6416557457948,-1.781025148505525,115303.98322851153,1.1503591507381554,1.1503591507381554,-0.6111464737867185,2.285877750522493,36.05175
115400.0,9.817257400608073,8.882539937655233,10.752897683241553,4.231639852500163,11.96888494096843,0.450077238712127,125786.16352201258,228.00034353372857,644.8823561022475,-1.0003360393116492,115303.98322851153,1.1373061279937824,1.1373061279937824,-0.6439739437505622,2.2202228105948056,36.05175
115500.0,9.802092671838242,8.742469093272117,10.794094990413058,4.479160598212545,12.668979332078733,0.4574371280765429,115546.21848739496,241.7348698404497,683.7294628537177,-1.313362947569015,115424.97376705142,1.2093665279981647,1.2093665279981647,-0.6111464737867185,2.450015100341712,36.297
115600.0,9.783549763880346,8.627116633191903,10.827052836150262,4.743464709646867,13.416544250041511,0.14112061173801518,115606.93641618497,257.0813987225408,727.136001414525,4.869544544330518,115673.7998843262,1.3132326429637664,1.3132326429637664,-0.6932151486963278,2.6716005225976573,36.05175
115700.0,9.777534957033305,8.882539937655233,10.99184206483628,5.065804271376412,14.328258209816154,0.441572848958466,126249.3424513414,273.8276089561404,774.5014366759403,-2.7111324352409203,115728.56391372962,1.4018750187336355,1.4018750187336355,-0.6932151486963278,2.917806547326485,36.297
115800.0,9.775722275517762,8.833103169049426,10.917686911927571,5.057948190268887,14.306037856917426,0.12163068905108879,115807.75911986103,273.8461045473871,774.5537501079107,4.81716470834879,115740.74074074073,1.4263027598204807,1.4263027598204807,-0.7342494861511326,2.7536691975072665,36.05175
115900.0,9.744165138224387,8.800145323312222,10.860010681887465,5.395894621898916,15.261894710850981,0.47210678270073614,115850.44760400211,292.8251107245145,828.2344859800234,-1.09257463494482,115911.48577449948,1.533574724794831,1.533574724794831,-0.6685945462234449,2.9998752222360947,36.297
116000.0,9.720155347604836,8.585919326020399,10.958884219099076,5.760124430764865,16.292092181888552,0.10744556743840071,116009.28074245939,313.3294143970732,886.2294146615213,5.625817554680322,116009.28074245939,1.6226725817104486,1.6226725817104486,-0.7260426186601716,3.22146064449204,46.84275
116100.0,9.701657756684828,8.536482557414592,10.950644757664776,6.20096112330472,17.538966640651676,0.497561473839641,116156.28299894404,337.7628381923382,955.3375732744679,-2.324857230451327,116156.28299894404,1.7772694480714253,1.7772694480714253,-0.8245250285517027,3.5087010066756728,46.84275
116200.0,9.709192744166495,8.585919326020399,10.99184206483628,6.19466220427372,17.521150607207815,0.5299583534709745,116217.64395139989,337.7944582772794,955.4270083804023,6.41422799427788,116156.28299894404,1.7774992403611722,1.7774992403611722,-0.7342494861511326,3.4922872716937507,46.597500000000004
116300.0,9.677429620337266,8.725990170403513,11.05775775631069,6.655754473715455,18.8253164891076,0.09968468523687699,116279.06976744186,364.1990087990218,1030.1103552928296,-3.199245727516909,116346.71320535195,1.939117081860666,1.939117081860666,-0.7178357511692106,3.8287688388231493,46.84275
116400.0,9.640393241190084,8.379932790162874,11.131912909219396,7.2171359287751065,20.4131430239278,0.06665290028012286,116402.1164021164,393.90887946250996,1114.1425593501408,-3.422746940012673,116414.43538998836,2.0982728631128715,2.0982728631128715,-0.7752838236059373,4.18166414093447,46.597500000000004
