Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
110000.0,9.829031590997687,9.37690762371329,10.332685150092203,1.1513269436044062,3.25644435674183,-0.5378521556773089,220241.21657052962,55.30094681319918,156.41469799059897,1.6977472252613615,264026.402640264,0.06010552860021322,0.06010552860021322,-0.3567335815669293,0.3900913601105161,1.22625
110100.0,9.829892614717572,9.352189239410388,10.283248381486398,1.167606655420482,3.3024903352254698,-0.5302249377548212,303506.01779173204,56.197001082759314,158.94912219186747,2.1155338054821953,230487.16605552647,0.05380675780090069,0.05380675780090069,-0.3567335815669293,0.3818844926195552,1.22625
110200.0,9.824780028897589,9.36866816227899,10.291487842920699,1.1785681875683613,3.333494230081309,-0.5421294126064587,230849.94753410283,57.24360075279711,161.90935308735277,2.284777020546678,187327.82369146004,0.06558771608417513,0.06558771608417513,-0.29928550913020274,0.3818844926195552,1.22625
110300.0,9.816878385382093,9.343949777976087,10.275008920052095,1.1787636699599746,3.3340471377801584,-0.522614427867213,346274.92130115425,57.25815902157136,161.95053008964322,2.3081496963632295,242424.24242424243,0.06007680456399484,0.06007680456399484,-0.39776791902173403,0.4721600350201255,1.4715
110400.0,9.827210670020708,9.352189239410388,10.283248381486398,1.1982958893182547,3.3892925968196104,-0.5297404047433161,231532.52480705624,58.387506036249896,165.14480581921111,1.3592607951323925,210084.03361344538,0.04859539694414049,0.04859539694414049,-0.405974786512695,0.3982982276014771,1.4715
110500.0,9.826778098295406,9.352189239410388,10.291487842920699,1.1958994369347944,3.3825144058950682,-0.5496981524068683,281265.6956303365,58.931276482770066,166.68282089978413,2.540415662290196,200210.74815595365,0.0682795686212103,0.0682795686212103,-0.4305953889855778,0.43933256505628177,1.22625
110600.0,9.826386723877276,9.327470855107485,10.332685150092203,1.2321592411364748,3.485072619637087,-0.5124475886430425,242232.75408109534,60.0740522998862,169.9150790184194,1.6883564180136392,241448.69215291753,0.06442234090045866,0.06442234090045866,-0.3485267140759684,0.3982982276014771,1.22625
110700.0,9.814303553683876,9.29451300937028,10.275008920052095,1.2417091592720686,3.5120838671309063,-0.493784713682651,232067.5105485232,61.25017265874785,173.2416497433899,1.6196991828025233,200739.56682514527,0.07122993748421078,0.07122993748421078,-0.3567335815669293,0.4311256975653208,1.22625
110800.0,9.826205455725722,9.335710316541785,10.299727304354999,1.2520479998522427,3.5413265242662972,-0.5294647221678045,188261.35105204873,61.01017567680337,172.56283576980093,1.3661473871140537,188261.35105204873,0.09353209989089711,0.09353209989089711,-0.38135418403981214,0.5131943724749302,1.22625
110900.0,9.825533939618827,9.343949777976087,10.291487842920699,1.2612270082524566,3.5672886806037356,-0.5372924365088461,233074.3618201998,61.66120796421246,174.40423315059434,1.9978356879774242,199556.54101995565,0.06008501143148581,0.06008501143148581,-0.46342285894942153,0.45574630003820366,0.9810000000000001
