Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
119000.0,4.437457606848506,3.947102538508952,5.092387677876787,5.793347594313936,16.386061478840624,-0.5146196331773765,118906.06420927469,303.82420260645523,859.3446158064802,1.4208227537563363,119047.61904761905,1.1405601509539482,1.1405601509539482,-0.6357670762596013,2.269464015540571,11.2815
119000.0,4.979432901073955,4.515625377475719,5.71034728544936,6.448974633573922,18.240454780400604,-0.4007543754736439,119189.51132300356,338.4721175876864,957.3437183552943,0.5560337485439814,119047.61904761905,1.2841228839733279,1.2841228839733279,-0.676801413714406,2.564911245215165,14.46975
119000.0,5.529194486354818,4.927598449190768,6.287109585850428,7.121722070898417,20.143271880232692,-0.546415023553048,119047.61904761905,373.37331357021174,1056.0592077583517,-0.10299223564052591,119047.61904761905,1.4448954181212528,1.4448954181212528,-0.6111464737867185,2.876772209871681,17.41275
119000.0,6.205382367883596,5.652671055409253,6.9874638077660105,7.919126384873374,22.39867187126909,-0.38575056015186077,118906.06420927469,414.42525880442616,1172.1716431823988,0.4838288750392858,119189.51132300356,1.6252741587050832,1.6252741587050832,-0.6193533412776794,3.229667511983001,20.84625
119000.0,6.678525201286895,5.982249512781292,7.506549878126972,8.511641027073077,24.074556357076013,-0.36688718877291493,119189.51132300356,444.7028399037519,1257.8095748354344,3.841564177613327,118906.06420927469,1.7405970606880665,1.7405970606880665,-0.6439739437505622,3.475873536711829,24.0345
119000.0,7.073665053291666,6.4766171988393495,7.959720257013524,9.003163810565304,25.46479273033618,-0.38681987438414817,119047.61904761905,470.45728737978266,1330.6541526594908,0.25093685529580034,119047.61904761905,1.8635769700401161,1.8635769700401161,-0.676801413714406,3.7302864289316187,26.24175
119000.0,7.726378709194121,7.0533794992404175,8.651835017494806,9.730435150830129,27.521826716191722,-0.586881884031176,119189.51132300356,509.9858722070201,1442.4578741876799,3.443393950309946,118906.06420927469,2.041181789412002,2.041181789412002,-0.6685945462234449,4.173457273443509,30.165750000000003
119000.0,8.27496205148988,7.605423415338582,9.245076240764474,10.435351771628737,29.51563200714293,-0.3575473972752795,119047.61904761905,545.5870588917828,1543.1532362800156,4.401256289577497,119047.61904761905,2.1960453789664345,2.1960453789664345,-0.6850082812053669,4.4853182381000245,33.354000000000006
119000.0,8.963064194252656,8.281059252951263,9.986627769851562,11.24169202945337,31.79630666414896,-0.5718613606745134,119047.61904761905,586.9050657044129,1660.0182074893064,3.1729387015755712,119047.61904761905,2.367683805672392,2.367683805672392,-0.7424563536420935,4.895661612648071,37.52325
119000.0,9.543970943755175,8.816624246180826,10.596347915989835,11.926075840440376,33.732036398881775,-0.5877507018449096,119047.61904761905,622.4513433752229,1760.5582634371854,-1.3801420213306046,119047.61904761905,2.527077586081835,2.527077586081835,-0.7096288836782496,5.1418676373769,41.447250000000004
119000.0,10.286362897908562,9.54169685239931,11.39557567511703,12.747431280815206,36.0551804054958,-0.5946678282850189,119047.61904761905,665.3023640602513,1881.7592526657797,-1.8033544012945568,119047.61904761905,2.725215987916105,2.725215987916105,-0.7096288836782496,5.478349204506299,46.84275
119000.0,10.747179497006147,10.003106692720165,11.824027669700678,13.270401276853176,37.534362927718,-0.6200139171972071,119047.61904761905,693.5753962780443,1961.7274638894085,-1.8221360157899835,119047.61904761905,2.822393505876574,2.822393505876574,-0.7096288836782496,6.528828243349299,56.89800000000001
119000.0,11.46159847959008,10.546911147384028,12.639734351696475,13.967834531372368,39.5070020625001,-0.34433134168560214,119047.61904761905,729.1038027782934,2062.2169725337217,6.458469130644917,119047.61904761905,3.060482938656841,3.060482938656841,-0.7014220161872887,6.594483183276986,59.59575
119000.0,11.954573696665742,10.942405296230476,13.29889126644055,14.493890677543847,40.99491353547096,-0.5576762390618253,119047.61904761905,756.6282614519456,2140.0678980402354,3.652078555814864,119047.61904761905,3.170971995687649,3.170971995687649,-0.6932151486963278,6.446759568439689,62.2935
119000.0,12.5230223804796,11.39557567511703,13.88389302827592,15.050721433764418,42.56986875025815,-0.3015086482894659,119047.61904761905,786.5302114568814,2224.643384517,0.38616447966299167,119047.61904761905,3.3133857672582936,3.3133857672582936,-0.6850082812053669,6.7750342680781275,63.51975000000001
119000.0,13.208265430124676,11.618041133843153,14.765515401746125,15.794634194843258,44.67397178213837,-0.30453280260265375,119047.61904761905,825.224992343729,2334.0887523634706,0.18499251995624946,119047.61904761905,3.498787110746592,3.498787110746592,-0.7096288836782496,7.1525501726623295,64.50075000000001
119000.0,13.862890641079888,12.466705661576153,15.531785315136116,16.40972809263081,46.41372004690655,-0.6239904294985258,119047.61904761905,856.470388777673,2422.4640791606853,5.3870823659826925,119047.61904761905,3.652682289937091,3.652682289937091,-0.7096288836782496,7.735237764520556,66.95325000000001
119000.0,14.400078808212006,12.713889504605183,16.199181691314493,16.89748506398812,47.79330509497762,-0.6204650341389532,118906.06420927469,883.4226244143845,2498.696513508111,5.062786489028062,119047.61904761905,3.7715013174712237,3.7715013174712237,-0.7178357511692106,7.677789692083829,71.12249999999999
119000.0,14.950219408718851,13.035228500542921,16.85009914462427,17.341446947733743,49.04901892931715,-0.6367386601115779,119047.61904761905,904.50204330409,2558.318113669641,-4.371009787426985,119047.61904761905,3.861030034930117,3.861030034930117,-0.7752838236059373,11.239570183160879,73.82025
119000.0,15.77948000477407,13.94980871975033,17.87179236247759,18.059708221728943,51.08056859933993,-0.28104130556208906,119047.61904761905,943.2798834163349,2667.998408482186,-1.3747162215874633,119047.61904761905,4.076575202712715,4.076575202712715,-0.7096288836782496,8.424614633761276,78.48
119000.0,16.725452572046166,14.781994324614727,18.695738505907688,18.86188023251645,53.34945367336351,-0.6544324690489592,119047.61904761905,982.6777733994206,2779.4324691681118,-3.9987164512062154,119047.61904761905,4.3004831684686025,4.3004831684686025,-0.7014220161872887,8.793923670854518,83.13975000000002
119000.0,17.274612676642327,14.955023014735048,19.40433218925757,19.111457606024278,54.05536508631596,-0.6302058184736972,119189.51132300356,995.6085522318859,2816.0062347619505,-4.350976065298528,119047.61904761905,4.284701362283484,4.284701362283484,-0.6850082812053669,9.015509093110463,82.64925000000001
119000.0,17.804492441482225,15.713053466690736,19.873981491012724,19.31803133514304,54.63964382501543,-0.2504823097674999,119047.61904761905,1007.3453372060775,2849.2028757402672,8.569105230721602,119047.61904761905,4.440845223166507,4.440845223166507,-0.676801413714406,9.113991503001994,83.63025
