r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
110.0,0.0,162.5,118000.0,9.491473215226527,8.800145323312222,10.299727304354999,7.423399302752895,20.996543945728245,-0.5887698919725586,118089.10359634996,419.5189267364687,1186.5787117258378,7.230184801802087,118089.10359634996,4.498395881446871,4.498395881446871,-0.7424563536420935,13.135356573572853,91.23300000000002
100.0,0.0,162.5,118000.0,9.4557469104474,8.627116633191903,10.291487842920699,7.967483021624048,22.535445094316195,-0.576364176074536,118025.75107296137,448.65177836435925,1268.9788594913696,7.872098648335203,118089.10359634996,4.154827684239028,4.154827684239028,-0.7096288836782496,8.514890176161845,80.9325
90.0,0.0,162.5,118000.0,9.426270237166188,8.684792863232008,10.39860084156661,8.579577620727424,24.266710061330826,-0.5601824442937489,118025.75107296137,484.08354616165417,1369.1950326069473,8.109999098610789,118025.75107296137,3.5311221686609784,3.5311221686609784,-0.660387678732484,7.209998245099056,66.95325000000001
80.0,0.0,162.5,118000.0,9.435156496323081,8.800145323312222,10.431558687303815,8.846601344841808,25.021967205566696,-0.5608257036366094,118025.75107296137,498.9542685869835,1411.2557872793202,7.710994132885415,118089.10359634996,3.129609383533205,3.129609383533205,-0.7178357511692106,6.430345833457767,58.12425
70.0,0.0,162.5,118000.0,9.429590740124212,8.742469093272117,10.423319225869514,9.002680053676,25.463424459228687,-0.8932988897036053,118089.10359634996,507.61417323150783,1435.7496964736083,-3.0988684322690405,118063.75442739078,2.8285240358923214,2.8285240358923214,-0.6357670762596013,5.7245552292351265,50.276250000000005
60.0,0.0,162.5,118000.0,9.405515033813183,8.635356094626204,10.472755994475321,9.05762872037148,25.61884275857882,-0.5563563043063453,118025.75107296137,512.3425357512989,1449.1235252802185,7.442625730206087,118025.75107296137,2.617435197157315,2.617435197157315,-0.676801413714406,5.371659927123806,46.597500000000004
50.0,0.0,162.5,118000.0,9.40064551210551,8.552961480283194,10.448037610172417,9.177231770044452,25.95713126847622,-0.5547272709055953,118025.75107296137,517.7079960770811,1464.2993388024106,-1.1919085071651607,118025.75107296137,2.449498067689781,2.449498067689781,-0.6685945462234449,4.920282215120954,43.89975
40.0,0.0,162.5,118000.0,9.428350701178347,8.684792863232008,10.505713840212522,9.19888817676282,26.018384836662985,-0.9093302491704769,118025.75107296137,519.8218939251087,1470.2783448147145,6.514605289525742,118133.49084465446,2.2749503064582783,2.2749503064582783,-0.6357670762596013,4.649455587919244,39.975750000000005
30.0,0.0,162.5,118000.0,9.408411204507342,8.561200941717495,10.489234917343921,9.240198415822789,26.135227837349955,-0.552830908946773,118089.10359634996,521.524461687338,1475.093933655122,-1.4227136808535907,118089.10359634996,2.2012895672931587,2.2012895672931587,-0.7342494861511326,4.427870165663298,38.749500000000005
20.0,0.0,162.5,118000.0,9.401708402630538,8.462327404505883,10.472755994475321,9.262112769566116,26.197210989898863,-0.9143593676692037,118025.75107296137,522.4341591052145,1477.6669465071554,5.84013664453387,118063.75442739078,2.080377788548831,2.080377788548831,-0.7424563536420935,4.321180888280806,36.542249999999996
