Start Time (s),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V)
0.03848004341125488,118000.0,9.721729084738786,8.849582091918029,10.835292297584562,3.3986630566463316,9.612870777291283,-0.1738425537752736,117924.52830188679,188.35970619975768,532.7617022246178,0.7154687871497372,118063.75442739078,2.061272201029874,2.061272201029874,-0.7999044260788201,4.255525948353118
0.03848004341125488,118100.0,9.754110168175588,8.833103169049426,10.90120798905897,3.4103000125267107,9.645785058952821,-0.1783537231927363,141509.43396226413,188.41926658006247,532.9301644198321,3.7768719499067993,117924.52830188679,2.0974809003999937,2.0974809003999937,-0.7506632211330544,4.2309053458802355
0.03848004341125488,118200.0,9.742632598397607,8.94845562912964,10.835292297584562,3.5434562217750356,10.022407693019163,-0.17421013054262255,118343.19526627219,196.7847700407686,556.5913813202513,4.700092644660535,118063.75442739078,2.187419961233435,2.187419961233435,-0.7834906910968982,4.460697635627142
0.03848004341125488,118300.0,9.712649198238186,8.77542693900932,10.934165834796175,3.7071353655901538,10.485362223141076,-0.3346406814554971,141676.50531286895,205.84230884616804,582.2099697608844,3.84991156183352,118343.19526627219,2.2596321882864,2.2596321882864,-0.7588700886240153,4.7397311303198135
0.03848004341125488,118400.0,9.72179500043026,8.85782155335233,10.958884219099076,3.7303262800220134,10.550956034567815,-0.20149435150083173,142011.83431952662,205.93345022172173,582.4677564996871,0.9062065165812273,118343.19526627219,2.2836454825649515,2.2836454825649515,-0.7834906910968982,4.633041852937322
0.03848004341125488,118500.0,9.716307519115016,8.849582091918029,10.958884219099076,3.877719617934925,10.967847349527576,-0.18679128080687937,142180.09478672987,216.25994057380115,611.6754819149384,0.9011980860491094,118343.19526627219,2.4290219332998335,2.4290219332998335,-0.8573524985155466,4.961316552575759
0.03848004341125488,118600.0,9.696664643055643,8.77542693900932,10.958884219099076,4.074272510846168,11.523782883285067,-0.19826970076908987,118623.96204033215,226.8776043824661,641.7067702328022,4.253090219669011,118623.96204033215,2.5207008500413584,2.5207008500413584,-0.7752838236059373,5.199315709813627
0.03848004341125488,118700.0,9.69895521333438,8.75894801614072,11.024799910573485,4.280049888890283,12.105809201004195,-0.184402031819112,129870.12987012987,237.70821452078158,672.3403617255649,1.9600637743810367,118764.84560570071,2.6270126115192665,2.6270126115192665,-0.808111293569781,7.357721859936354
0.03848004341125488,118800.0,9.692948645948773,8.709511247534913,11.033039372007785,4.264955767150253,12.063116577650472,-0.17796943839050802,119047.61904761905,237.2162698712638,670.948932134995,1.1787486113706418,118764.84560570071,2.6303774271905604,2.6303774271905604,-0.8819731009884295,5.445521734542455
0.03848004341125488,118900.0,9.667496949578217,8.77542693900932,11.024799910573485,4.505529023499167,12.74356050139626,-0.16928126025317267,118906.06420927469,250.2598320102166,707.8416970921215,1.6366026358484214,118906.06420927469,2.7904441707342627,2.7904441707342627,-0.8491456310245857,5.790210169162814
0.03848004341125488,119000.0,9.67113879153218,8.76718747757502,11.107194524916494,4.752890567248688,13.443204601356495,-0.21106805548678012,118906.06420927469,262.7238802333693,743.0953491706312,3.5147640853926294,119047.61904761905,2.9572979936929893,2.9572979936929893,-0.8737662334974684,6.077450531346447
0.03848004341125488,119100.0,9.65842530253905,8.725990170403513,11.024799910573485,4.730842722296296,13.380843878650952,-0.2935389156519487,119047.61904761905,262.85671035074546,743.4710494776011,0.6536981439202827,118906.06420927469,2.9524477350058316,2.9524477350058316,-0.9065937034613123,6.093864266328369
0.03848004341125488,119200.0,9.639350949318644,8.701271786100612,11.090715602047892,4.967625771063259,14.05056747646353,-0.2885432132229809,119047.61904761905,275.5660618363497,779.4185239574175,3.2593341282546207,119047.61904761905,3.091775724399876,3.091775724399876,-0.8819731009884295,6.413932098475845
