Start Time (s),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V)
0.03662228584289551,115000.0,9.880042096737444,8.964934551998242,10.835292297584562,3.5198587430643964,9.95566394415837,-0.696469884805759,137772.67508610792,197.0282136655377,557.2799438718948,4.917959372807665,115107.91366906474,1.1637117241459491,1.1637117241459491,-0.2910786416392418,1.9247755809202116
0.03662228584289551,115100.0,9.883725135998578,8.973174013432544,10.876489604756067,3.6770316176534434,10.400215965920362,-0.7065281218032126,115074.79861910241,206.1945803442737,583.2063440214014,6.349953135782367,115107.91366906474,1.1233011086204574,1.1233011086204574,-0.5126640638951871,2.0724991957575085
0.03662228584289551,115200.0,9.873063272902593,9.014371320604047,10.876489604756067,3.9029291245112496,11.039150601729519,-0.3291437379801444,161104.7180667434,216.2349353205117,611.6047563782734,-3.206549688709587,115207.3732718894,1.1211837368077895,1.1211837368077895,-0.5947327388047965,2.2038090756128836
0.03662228584289551,115300.0,9.861676337200388,8.849582091918029,10.942405296230476,4.104598544426776,11.609557859250424,-0.33512521446700244,138728.32369942198,229.10119765222646,647.9960417513955,-2.521229444231445,115340.25374855824,1.2119024500528717,1.2119024500528717,-0.660387678732484,2.3433258229592195
0.03662228584289551,115400.0,9.873359893514225,8.93197670626104,10.958884219099076,4.0861392627162285,11.55734712615698,-0.3058861534278926,115074.79861910241,228.86369314259542,647.3242775541056,-1.135563663678833,115340.25374855824,1.2115741753532332,1.2115741753532332,-0.652180811241523,2.294084618013454
0.03662228584289551,115500.0,9.865392334307257,8.874300476220933,10.975363141967678,4.319576328385639,12.217606854617499,-0.30145852418482755,115473.44110854504,242.69676560545682,686.4501149266423,-1.1159473107613702,115473.44110854504,1.2566298778786087,1.2566298778786087,-0.7014220161872887,2.4582219678326727
0.03662228584289551,115600.0,9.823445236145231,8.816624246180826,11.033039372007785,4.583945659410895,12.965356241440336,-0.31672966806468267,115473.44110854504,257.4603706879191,728.2078960009194,-1.4890753854041596,115606.93641618497,1.3548332542754473,1.3548332542754473,-0.7424563536420935,2.7126348600524617
0.03662228584289551,115700.0,9.828619617925973,8.816624246180826,11.098955063482194,4.894597727365339,13.844012976801183,-0.27415759519173893,115740.74074074073,274.2381524056523,775.6626289044266,-1.1380678789448866,115740.74074074073,1.4752362072353353,1.4752362072353353,-0.676801413714406,2.852151607398798
0.03662228584289551,115800.0,9.83656245874864,8.816624246180826,11.08247614061359,4.899798774916365,13.858723760771602,-0.261576444927482,115740.74074074073,274.33026871189077,775.923173163623,-0.729463421366274,115740.74074074073,1.477008890613383,1.477008890613383,-0.7178357511692106,2.860358474889759
0.03662228584289551,115900.0,9.807938569725877,8.602398248889,11.164870754956603,5.215685229183814,14.75218557636155,-0.28964594352502737,115874.85515643106,292.27500618957004,826.6785553919406,-1.9957616075700826,115874.85515643106,1.5830498254640892,1.5830498254640892,-0.676801413714406,3.13118510209147
0.03662228584289551,116000.0,9.784464344099554,8.742469093272117,11.197828600693803,5.587764073681418,15.804583472682793,-0.7225511272526446,139372.82229965157,313.46687688411026,886.618217288492,6.091184224956276,115942.02898550725,1.7119304725421398,1.7119304725421398,-0.8491456310245857,3.2871155844197277
0.03662228584289551,116100.0,9.765002736191734,8.709511247534913,11.189589139259503,5.975934845084394,16.902496211552624,-0.7447728136423679,116144.01858304298,337.3691364847463,954.2240166856561,5.9096286181670035,116110.30478955008,1.8471550281907032,1.8471550281907032,-0.7096288836782496,3.65642462151297
0.03662228584289551,116200.0,9.788295693666504,8.717750708969213,11.222546984996708,5.951189077509726,16.832504611321767,-0.7783058396455067,116144.01858304298,336.9635076905439,953.0767252015559,-3.0024561445257785,116110.30478955008,1.866949992578901,1.866949992578901,-0.652180811241523,3.5743559466033603
0.03662228584289551,116300.0,9.753591082105228,8.610637710323301,11.280223215036816,6.465789594002885,18.288014670579418,-0.758206073685479,116279.06976744186,362.8030421640336,1026.1619653971884,7.289033860554471,116279.06976744186,2.0052028823316292,2.0052028823316292,-0.7588700886240153,3.927251248714681
0.03662228584289551,116400.0,9.717024352259799,8.627116633191903,11.296702137905417,6.96249320280408,19.692904630672036,-0.7605451985686077,116414.43538998836,393.0059942567589,1111.5888143436623,8.112085944665854,116448.32605531295,2.1520401554799022,2.1520401554799022,-0.808111293569781,4.2965602858079235
0.03662228584289551,116500.0,9.65359697813855,8.52000363454599,11.42029405941993,7.572620089462821,21.418604066434565,-0.2581847138469453,116550.11655011655,424.62448800677157,1201.019419709816,-3.7666591698847696,116550.11655011655,2.340272868252582,2.340272868252582,-0.7999044260788201,4.698696792865009
0.03662228584289551,116600.0,9.666022085981476,8.495285250243088,11.387336213682726,7.560856236760257,21.385330866359116,-0.7811629136098998,116550.11655011655,424.85771781176686,1201.679093216564,7.634615567270608,116448.32605531295,2.3169161233733075,2.3169161233733075,-0.8245250285517027,4.747937997810775
0.03662228584289551,116700.0,9.612333755275573,8.52000363454599,11.453251905157135,8.153876242983369,23.06264473747772,-0.8177200939262266,116822.42990654206,460.5114011552339,1302.5229382823377,-4.125179322142208,116618.07580174928,2.5610129831569584,2.5610129831569584,-0.8737662334974684,5.1172470349040164
