Time (s),RX Force (mN)
0.009963035583496094,92.21400000000001
15.036820888519287,92.45925000000001
30.059252977371216,92.21400000000001
45.08073973655701,92.21400000000001
60.1008026599884,92.45925000000001
75.13008999824524,92.7045
90.14564085006714,94.176
105.17040777206421,93.93075
120.19705390930176,94.42125
135.21946692466736,94.176
150.24196577072144,94.42125
165.262708902359,94.42125
180.2805860042572,90.49725000000001
195.30411291122437,90.49725000000001
210.3292989730835,90.252
225.3581666946411,90.49725000000001
240.38100576400757,90.49725000000001
255.4058518409729,90.252
270.4291977882385,90.252
285.450208902359,90.252
300.47189569473267,90.00675000000001
315.49841260910034,90.00675000000001
330.5222828388214,90.00675000000001
345.5475227832794,89.76150000000001
360.57236790657043,89.271
375.61799669265747,89.271
390.6742627620697,89.51625
405.70348167419434,89.271
420.72954869270325,89.51625
435.76703786849976,89.51625
450.7954947948456,89.271
465.81737089157104,89.271
480.83299469947815,89.51625
495.8595988750458,89.51625
510.87815380096436,89.51625
525.8968648910522,89.271
540.9208588600159,89.51625
555.9465808868408,89.271
570.9689748287201,89.51625
585.9935586452484,89.271
601.0189509391785,89.271
616.0453858375549,89.271
631.0716516971588,89.51625
646.0921008586884,89.02575
661.1110169887543,89.51625
676.1299886703491,89.271
691.1532437801361,89.02575
706.1799187660217,89.271
721.2026786804199,89.271
736.227080821991,89.02575
751.2502837181091,89.02575
766.2716407775879,89.271
781.2963876724243,89.271
796.3230538368225,88.78049999999999
811.352010011673,89.271
826.3766858577728,89.02575
841.4020607471466,89.271
856.427295923233,89.271
871.4538748264313,89.51625
886.4724879264832,89.51625
901.4991617202759,89.271
916.5210597515106,89.51625
931.5449678897858,89.02575
946.5691509246826,89.02575
961.5854909420013,89.02575
976.6090266704559,89.271
991.6310436725616,89.271
1006.6612088680267,89.271
1021.690141916275,89.271
1036.71506690979,89.271
1051.7342188358307,89.271
1066.7503428459167,89.271
1081.7721507549286,89.271
1096.7921118736267,89.271
1111.8145887851715,89.02575
1126.838594675064,89.271
1141.8565340042114,89.02575
1156.8743999004364,89.02575
1171.8928468227386,89.02575
1186.9137077331543,88.78049999999999
1201.937903881073,88.78049999999999
1216.9555809497833,88.78049999999999
1231.9811656475067,88.78049999999999
1247.0071828365326,89.02575
1262.0300908088684,88.78049999999999
1277.051677942276,89.02575
1292.0758037567139,88.78049999999999
1307.0988688468933,89.271
1322.1167459487915,89.02575
1337.1370418071747,89.02575
1352.1699867248535,89.02575
1367.20814371109,88.53525
1382.2556638717651,88.78049999999999
1397.2773246765137,89.02575
1412.2977447509766,89.02575
1427.3230547904968,88.78049999999999
1442.3458187580109,89.271
1457.3680109977722,89.02575
1472.389930009842,88.78049999999999
1487.4165439605713,89.271
1502.438313961029,89.271
1517.4649069309235,88.78049999999999
1532.492672920227,89.02575
1547.517140865326,89.02575
1562.5340065956116,89.02575
1577.560597896576,89.02575
1592.5928399562836,88.78049999999999
1607.6112678050995,89.271
1622.633428812027,89.02575
1637.6560850143433,89.271
1652.679524898529,89.02575
1667.6979026794434,89.02575
1682.7273910045624,89.02575
1697.7506749629974,89.02575
1712.7738828659058,89.02575
1727.7967276573181,89.02575
1742.8131878376007,89.02575
1757.8388528823853,89.02575
1772.8766448497772,90.00675000000001
1787.9088258743286,89.76150000000001
