Time (s),RX Force (mN)
0.0095977783203125,42.6735
5.034286737442017,42.6735
10.056761741638184,42.6735
15.080183744430542,42.91875
20.106421947479248,42.91875
25.126070976257324,42.6735
30.151197910308838,42.6735
35.173128843307495,42.6735
40.193315744400024,42.91875
45.216638803482056,42.6735
50.23844289779663,43.163999999999994
55.260931730270386,42.91875
60.27887678146362,42.91875
65.3004059791565,42.91875
70.32043385505676,43.163999999999994
75.34219074249268,42.91875
80.36358571052551,43.163999999999994
85.38492369651794,43.163999999999994
90.40284585952759,42.91875
95.42310667037964,43.163999999999994
100.44129467010498,43.40925
105.46059584617615,43.40925
110.48086190223694,43.163999999999994
115.50200986862183,43.163999999999994
120.5232629776001,43.163999999999994
125.54569864273071,43.163999999999994
130.56678986549377,42.91875
135.5902168750763,43.163999999999994
140.61274695396423,42.91875
145.6379976272583,43.163999999999994
150.65989780426025,43.163999999999994
155.6959638595581,42.91875
160.72969579696655,43.163999999999994
165.75371384620667,42.91875
170.78555965423584,43.163999999999994
175.81622672080994,43.163999999999994
180.83685278892517,43.163999999999994
185.85740971565247,43.163999999999994
190.8812379837036,43.163999999999994
195.90918684005737,43.40925
200.93939185142517,43.40925
205.96928787231445,43.654500000000006
210.9997456073761,43.163999999999994
216.0245668888092,43.163999999999994
221.05088877677917,43.40925
226.0749650001526,43.163999999999994
231.10065269470215,43.40925
236.12101984024048,43.40925
241.14657998085022,43.163999999999994
246.16661477088928,43.654500000000006
251.18954873085022,43.654500000000006
256.21429562568665,43.40925
261.2404067516327,43.40925
266.26303482055664,43.654500000000006
271.28359866142273,43.654500000000006
276.310674905777,41.93775000000001
281.3313567638397,41.93775000000001
286.35248470306396,42.183
291.37131786346436,41.93775000000001
296.38984775543213,42.183
301.40562200546265,42.183
306.4286708831787,41.93775000000001
311.44923281669617,42.183
316.4706358909607,42.183
321.4886939525604,42.183
326.5109188556671,42.42825
331.531368970871,42.183
336.5571777820587,42.183
341.588191986084,41.93775000000001
346.611478805542,42.42825
351.63091683387756,42.42825
356.6536178588867,42.183
361.68343591690063,42.183
366.70933389663696,42.183
371.73080587387085,42.183
376.7499897480011,42.42825
381.77408480644226,42.183
386.7962267398834,42.183
391.816743850708,42.183
396.83426570892334,42.183
401.85051584243774,42.183
406.8684058189392,42.42825
411.8845839500427,41.93775000000001
416.9079239368439,42.183
421.9315938949585,42.42825
426.9559187889099,42.42825
431.9816539287567,42.42825
437.0045008659363,41.93775000000001
442.0258388519287,42.183
447.0485796928406,42.183
452.0703377723694,42.183
457.0913188457489,42.42825
462.11475467681885,42.42825
467.13533067703247,42.183
472.1564347743988,42.183
477.17922258377075,42.42825
482.2013988494873,42.42825
487.2228798866272,42.42825
492.2494168281555,42.183
497.271292924881,42.183
502.2912788391113,42.183
507.31698203086853,42.42825
512.3362469673157,42.42825
517.3559138774872,42.42825
522.3772468566895,42.183
527.4002418518066,42.42825
532.4240996837616,42.183
537.4433736801147,42.42825
542.4667208194733,42.6735
547.4814097881317,42.42825
552.5031716823578,42.42825
557.5278966426849,42.42825
562.5492606163025,42.6735
567.567370891571,42.42825
572.582347869873,42.42825
577.6020407676697,42.6735
582.6253178119659,42.42825
587.6452159881592,42.42825
592.6727368831635,42.6735
597.6958436965942,42.6735
