r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V)
0.0,0.0,200.0,115000.0,9.703486917123245,8.816624246180826,10.752897683241553,3.618963867710286,10.235975566908158,0.2048617648032741,137931.0344827586,194.20801034669034,549.3032043075677,-4.8551580721983925,114942.52873563218,0.6055872866881684,0.6055872866881684,-0.676801413714406,1.4651910014263991
0.0,0.0,200.0,115100.0,9.696532811672693,8.808384784746524,10.777616067544455,3.7694192213279765,10.661527570143711,0.20091866857171423,138089.7583429229,205.3087647038942,580.7008790366276,-4.176515735096417,115074.79861910241,0.7616408720287907,0.7616408720287907,-0.6111464737867185,1.5636734113179305
0.0,0.0,200.0,115200.0,9.691416106121993,8.651835017494806,10.81057391328166,3.975989578380136,11.245796771198545,0.20893852531387,115340.25374855824,217.44066674776093,615.015079852264,-2.3734807435339733,115207.3732718894,0.8612394158990926,0.8612394158990926,-0.5701121363319137,1.6375352187365788
0.0,0.0,200.0,115300.0,9.711685181250374,8.734229631837815,10.909447450493271,4.17872948496316,11.81923182224648,-0.16984933343907527,115340.25374855824,230.19960939489,651.1028193184848,3.5965684507505613,115273.77521613833,0.9558728049373632,0.9558728049373632,-0.5536984013499919,1.760638231100993
0.0,0.0,200.0,115400.0,9.680729524641706,8.585919326020399,10.843531759018862,4.198779592162753,11.875942089303877,-0.12378528127631798,115473.44110854504,230.37440887078444,651.5972268974961,5.737672503230964,115273.77521613833,0.9609938902517229,0.9609938902517229,-0.5126640638951871,1.8591206409925243
0.0,0.0,200.0,115500.0,9.681998401702588,8.643595556060506,10.90120798905897,4.454942329879483,12.60047972501112,-0.16119457137149887,115606.93641618497,244.75843390446343,692.281393465782,4.872883498018599,115440.11544011543,1.0412488474458301,1.0412488474458301,-0.652180811241523,1.9411893159021338
0.0,0.0,200.0,115600.0,9.668625755794718,8.618877171757601,11.000081526270582,4.720839576024312,13.352550708402468,0.2798808414121896,138728.32369942198,259.95413189185774,735.2613178327791,-1.8375786765973607,115606.93641618497,1.1308021855071957,1.1308021855071957,-0.6111464737867185,2.138154135685196
0.0,0.0,200.0,115700.0,9.637628901878877,8.569440403151795,11.016560449139183,5.010566892149727,14.172023308111507,-0.14884733359555485,115874.85515643106,276.79049375725197,782.8817404149025,5.788591546974161,115440.11544011543,1.2056488170247595,1.2056488170247595,-0.6029396062957575,2.236636545576727
0.0,0.0,200.0,115800.0,9.644096879104803,8.635356094626204,10.99184206483628,5.034130069602176,14.238670038363221,0.26330647081173436,115874.85515643106,276.4203064675356,781.8346926434325,-3.0379325274616114,115740.74074074073,1.2302119714252056,1.2302119714252056,-0.5783190038228747,2.253050280558649
0.0,0.0,200.0,115900.0,9.644912585786798,8.552961480283194,11.131912909219396,5.357172674302933,15.152372503947504,0.2657792599738991,116009.28074245939,295.6782355221547,836.3043415479549,-3.189854920269192,115874.85515643106,1.3113696840433184,1.3113696840433184,-0.6685945462234449,2.5156700402693994
0.0,0.0,200.0,116000.0,9.653802964674409,8.43760902020298,11.131912909219396,5.7170295086067275,16.170201335117653,0.3267301712142832,116144.01858304298,317.1665022501029,897.0823380250646,5.83825848308433,116009.28074245939,1.3991831661966003,1.3991831661966003,-0.6685945462234449,2.622359317651892
0.0,0.0,200.0,116100.0,9.601910836561183,8.454087943071581,11.23078644643101,6.18150318325195,17.483931275214736,0.2630558502885421,116279.06976744186,340.98278141426016,964.4449480234946,-3.5053860437926194,116144.01858304298,1.5244363778436458,1.5244363778436458,-0.7424563536420935,2.942427149799368
0.0,0.0,200.0,116200.0,9.596777652087612,8.429369558768679,11.206068062128105,6.188144626665917,17.502716113914268,-0.21536202045080938,116144.01858304298,341.70047753482146,966.4748991982152,4.773132256587254,116110.30478955008,1.560152665164308,1.560152665164308,-0.6932151486963278,2.8685653423807196
0.0,0.0,200.0,116300.0,9.570502009573627,8.412890635900078,11.271983753602512,6.668223867457554,18.860585260596892,-0.20794365296431522,116414.43538998836,369.0999528937555,1043.9723185072392,6.571158817617583,116279.06976744186,1.6815322353556206,1.6815322353556206,-0.7670769561149762,3.1968400420191574
0.0,0.0,200.0,116400.0,9.558719579722576,8.330496021557067,11.354378367945523,7.227599468482074,20.442738383455847,0.3403305116061889,116414.43538998836,399.8137984906266,1130.8441924986957,-3.6673252976644255,116414.43538998836,1.8024276003649662,1.8024276003649662,-0.7096288836782496,3.4348391992570244
0.0,0.0,200.0,116500.0,9.505921110851574,8.231622484345456,11.445012443722833,7.802764392731073,22.069550456404304,0.37511664022528957,116686.11435239206,432.5292588955178,1223.3774881064498,6.992701720737499,116550.11655011655,1.9531467218364638,1.9531467218364638,-0.7014220161872887,3.7056658264587354
0.0,0.0,200.0,116600.0,9.503902442800172,8.289298714385563,11.387336213682726,7.83111358213077,22.14973407266697,-0.23258800441156485,116686.11435239206,433.39337899981,1225.8215888484685,6.377082134498007,116618.07580174928,1.97702870623516,1.97702870623516,-0.7178357511692106,3.7220795614406574
0.0,0.0,200.0,116700.0,9.473432914416128,8.27281979151696,11.387336213682726,8.486232430811894,24.00268999420916,-0.26177694134603574,116686.11435239206,471.5182681312127,1333.6550593956692,4.717622151522952,116788.32116788322,2.1597464040539145,2.1597464040539145,-0.7752838236059373,4.124216068497743
0.0,0.0,200.0,116800.0,9.388945476868805,8.206904100042554,11.48620975089434,9.190249341120175,25.993950519605107,0.3843060594090098,116686.11435239206,510.0683315647988,1442.6911044719104,7.577018616151261,116822.42990654206,2.324335131585136,2.324335131585136,-0.7916975585878592,4.5509731780277125
0.0,0.0,200.0,116900.0,9.338445817737973,8.124509485699544,11.354378367945523,9.949144434029426,28.14042998522641,0.3828190443047351,116959.06432748538,550.6670542510681,1557.5216329478028,-5.303412604822927,116959.06432748538,2.531533915129427,2.531533915129427,-0.808111293569781,4.9941440225396025
0.0,0.0,200.0,117000.0,9.34640513748351,8.157467331436747,11.370857290814126,9.933150212598573,28.09519149549219,0.42201609413202146,116959.06432748538,550.6297887638771,1557.4162302330149,9.287397642869509,116959.06432748538,2.5026211209587714,2.5026211209587714,-0.7342494861511326,4.953109685084798
0.0,0.0,200.0,117100.0,9.292617933240392,8.09155163996234,11.255504830733912,10.605873575511804,29.99794050260645,-0.26648860718205264,117233.29425556859,588.8690666210638,1665.5732409549883,7.269000138426014,117130.30746705711,2.6739887210375275,2.6739887210375275,-0.8409387635336247,5.281384384723236
0.0,0.0,200.0,117200.0,9.226702241765983,8.10803056283094,11.049518294876389,11.07761050410848,31.332214027193743,0.3895189662914112,117233.29425556859,615.4143288305609,1740.6545806218298,9.001917102538783,117233.29425556859,2.8284501740849026,2.8284501740849026,-0.8245250285517027,5.511176674470142
0.0,0.0,200.0,117300.0,9.226084282158412,8.10803056283094,11.033039372007785,11.093609336353198,31.37746555827897,0.3913067260235165,117233.29425556859,616.1841608466156,1742.8319943775368,-4.1573167513899465,117233.29425556859,2.804034743299294,2.804034743299294,-0.8163181610607418,5.5357972769430255
0.0,0.0,200.0,117400.0,9.228284218361368,8.083312178528038,10.892968527624669,11.250603585383544,31.821512350665557,0.35461588142815403,117233.29425556859,623.4392058522957,1763.352360462857,-4.462413644638145,117370.89201877934,2.866357695025651,2.866357695025651,-0.808111293569781,5.576831614397829
0.0,0.0,200.0,117500.0,9.233911770520997,8.124509485699544,10.98360260340198,11.14405922411168,31.52015938925546,-0.2511840472324386,117508.81316098708,619.5988464049827,1752.4901836333017,6.007710382754296,117647.05882352941,2.838954964473333,2.838954964473333,-0.8409387635336247,5.511176674470142
0.0,0.0,200.0,117600.0,9.222277650975764,8.058593794225136,10.99184206483628,11.1027780375466,31.40339856143308,-0.22881198852879994,117508.81316098708,615.8677396152453,1741.9370199838838,-5.561346777227016,117647.05882352941,2.8093117590959817,2.8093117590959817,-0.8327318960426638,5.511176674470142
0.0,0.0,200.0,117700.0,9.216460591203148,8.00915702561933,11.05775775631069,11.091055410228757,31.370241964354,-0.26431656264771874,117508.81316098708,616.8120077136496,1744.6078134864429,-4.575938070032811,117647.05882352941,2.8193487580374272,2.8193487580374272,-0.7916975585878592,5.4701423370153375
0.0,0.0,200.0,117800.0,9.26636700911071,8.124509485699544,11.304941599339717,10.684811766664241,30.2212114236404,-0.20000733639655693,117785.63015312131,592.7309752873521,1676.4963681800104,-4.652734004858619,117785.63015312131,2.6851172333552698,2.6851172333552698,-0.8655593660065075,6.569862580804103
0.0,0.0,200.0,117900.0,9.306072973762607,8.215143561476854,11.354378367945523,10.00291657605767,28.2925205702948,-0.1941929402584941,117924.52830188679,557.135544791566,1575.8172870487113,4.402508397210535,117994.10029498526,2.5310250893449875,2.5310250893449875,-0.7916975585878592,7.636755354629026
0.0,0.0,200.0,118000.0,9.374551137743081,8.26458033008266,11.387336213682726,9.267906675991314,26.213598631990134,0.20634877990754893,117924.52830188679,516.0796371256708,1459.6936441754185,-1.7015163138081626,117924.52830188679,2.35152448358269,2.35152448358269,-0.808111293569781,4.5181457080638685
0.0,0.0,200.0,118100.0,9.391664499142124,8.256340868648358,11.40381513655133,9.282206244823696,26.25404392034782,0.2721450212629854,118063.75442739078,516.4047310089901,1460.6131485330877,-2.176482475937333,117924.52830188679,2.2980075006741334,2.2980075006741334,-0.7424563536420935,5.765589566689932
0.0,0.0,200.0,118200.0,9.45642666601573,8.388172251597174,11.379096752248426,8.537617296570293,24.148028342321656,0.19221378239949952,118203.3096926714,476.3019216553932,1347.185274778849,-1.6689615153493833,118203.3096926714,2.1261146610759565,2.1261146610759565,-0.8245250285517027,4.157043538461587
0.0,0.0,200.0,118300.0,9.502378142434825,8.421130097334379,11.42029405941993,7.85137294714195,22.20703621019473,0.18006704104210922,118343.19526627219,438.038475012308,1238.9599044072684,-0.21192559971408992,118343.19526627219,1.9976853917099089,1.9976853917099089,-0.676801413714406,3.8205619713321886
0.0,0.0,200.0,118400.0,9.488601762916675,8.412890635900078,11.39557567511703,7.833812092982514,22.157366613956466,0.2025393479550249,118343.19526627219,437.6738370067227,1237.9285523815574,-0.8747079067976993,118343.19526627219,1.9509226607464132,1.9509226607464132,-0.7424563536420935,3.787734501368345
0.0,0.0,200.0,118500.0,9.557697886504723,8.462327404505883,11.346138906511223,7.220549778449555,20.422798848946815,0.17363444761350505,118623.96204033215,403.796634788067,1142.1093547157998,0.1670456438828296,118483.41232227487,1.824085523673612,1.824085523673612,-0.676801413714406,3.5415284766395168
