File Name,Power Supply Avg (V),Power Supply Max (V),Power Supply Min (V),TX Current (A),TX Current Freq (Hz),TX Amplitude (V),TX Frequency (Hz),RX Average (V),RX RMS (V),RX Max (V),RX Min (V),RX Frequency (Hz)
meas01,9.8873,11.486,8.487,4.979,114930.0,289.65,115030.0,1.1449,1.3179,1.8788,-0.43389936999999995,229880.0
meas02,9.8812,11.453,8.2563,5.5367,115200.0,319.7,115300.0,1.2963,1.5091,2.206,-0.46937781,230420.0
meas03,9.8743,11.486,8.6518,5.863,115330.0,338.07,115350.0,1.3836,1.6211,2.4017,-0.50617,230690.0
meas04,9.8591,11.519,8.3223,6.6119,115600.0,378.97,115570.0,1.455,1.7042,2.5358,-0.52194,231230.0
meas05,9.8526,11.552,8.3552,7.0439,115730.0,404.01,115660.0,1.6736,2.0113,2.9418,-0.56136,231490.0
meas06,9.8324,11.684,8.3552,8.1419,116010.0,472.46,116070.0,1.9504,2.3737,3.4753,-0.59027,232290.0
meas07,9.8147,11.552,8.3223,8.7303,116130.0,506.69,116130.0,2.0978,2.5735,3.905,-0.59815,232290.0
meas08,9.541,11.387,7.8608,9.9794,116410.0,580.98,116440.0,2.3816,2.9632,4.491,-0.62575,232990.0
meas09,8.0694,9.9372,6.938,9.2011,116560.0,535.07,116460.0,2.2083,2.7205,4.0876,-0.58501,232950.0
meas10,5.6593,7.3665,4.6969,7.7313,116800.0,450.76,116880.0,1.8452,2.2448,5.4108,-0.54296,233470.0
meas11,4.7938,6.147,3.9059,7.076,116950.0,411.53,116830.0,1.6826,2.0316,3.3689,-0.52457,233970.0
meas12,4.0016,5.1253,3.3456,6.4983,117240.0,378.14,117310.0,1.5299,1.8378,3.5029,-0.518,234510.0
meas13,3.9659,4.9935,3.2467,6.4809,117340.0,379.81,117380.0,1.5395,1.8413,2.7027,-0.51274,234710.0
meas14,4.2623,5.2572,3.5434,6.5986,117640.0,392.33,117730.0,1.5826,1.8941,2.8091,-0.51931,235370.0
meas15,4.9723,6.147,4.1366,7.1629,117780.0,419.87,117810.0,1.7135,2.0762,6.6486,-0.5469,235420.0
meas16,6.9512,8.487,6.0152,8.404,118070.0,499.17,118060.0,2.0294,2.4936,4.4319,-0.5837,236070.0
meas17,8.2263,9.7724,7.2676,9.0981,118200.0,539.24,118240.0,2.1985,2.7164,4.0705,-0.61129,236290.0
meas18,9.7455,11.354,8.7837,9.8965,118340.0,588.49,118390.0,2.3852,2.9745,6.0074,-0.64151,236720.0
meas19,9.8146,11.288,8.8825,8.4602,118620.0,506.69,118580.0,2.0317,2.5039,6.2321,-0.56924,237260.0
meas20,9.8246,11.19,8.8825,7.849,118770.0,466.62,118730.0,1.8781,2.3071,3.4884,-0.56267,237530.0
meas21,9.8467,11.157,9.0144,6.8152,119030.0,403.18,119070.0,1.6292,1.9708,2.9352,-0.53902,238120.0
