File Name,Power Supply Avg (V),Power Supply Max (V),Power Supply Min (V),TX Current (A),TX Current Freq (Hz),TX Amplitude (V),TX Frequency (Hz),RX Average (V),RX RMS (V),RX Max (V),RX Min (V),RX Frequency (Hz)
meas01,10.123,11.288,9.1462,4.3785,120040.0,258.77,120140.0,0.98311,1.1283,1.6094,-0.40630503,240300.0
meas02,10.072,11.552,9.0144,6.6842,119060.0,399.0,119090.0,1.6009,1.9184,2.8354,-0.54953,238130.0
meas03,7.5695,9.0144,6.6414,8.6287,118050.0,520.04,118080.0,2.0781,2.5526,3.7946,-0.57844,236110.0
meas04,4.9278,6.4437,4.1696,7.0038,116930.0,408.19,116830.0,1.6551,1.998,2.9431,-0.53508,234010.0
meas05,10.016,11.75,8.5859,7.9226,116000.0,459.11,115930.0,1.8824,2.298,3.947,-0.57976,231910.0
meas06,10.075,11.453,8.6848,4.8439,114960.0,281.31,114970.0,1.096,1.2759,1.8761,-0.43915544,229810.0
meas07,10.099,11.486,8.8166,3.5641,114020.0,203.68,113900.0,0.73961,0.83453,1.2047,-0.28541553,228290.0
meas08,10.085,11.354,9.1132,2.7175,113010.0,151.92,112970.0,0.49213999999999997,0.54372,0.78419,-0.2998697,226130.0
meas10,10.069,10.992,9.2121,3.2779,121080.0,191.16,121090.0,0.70097,0.78321,1.1048,-0.24599503,242180.0
